 pi_estimate      st_dev
  3.1522e+00  0.0000e+00
  3.1384e+00  1.3753e-02
  3.1377e+00  7.9741e-03
  3.1378e+00  5.6393e-03
  3.1372e+00  4.4130e-03
  3.1396e+00  4.3519e-03
  3.1431e+00  5.1148e-03
  3.1434e+00  4.4347e-03
  3.1458e+00  4.6107e-03
  3.1501e+00  5.9847e-03
  3.1525e+00  5.9106e-03
  3.1521e+00  5.4097e-03
  3.1521e+00  4.9762e-03
  3.1518e+00  4.6165e-03
  3.1507e+00  4.4385e-03
  3.1496e+00  4.3009e-03
  3.1505e+00  4.1458e-03
  3.1503e+00  3.9150e-03
  3.1496e+00  3.7741e-03
  3.1495e+00  3.5822e-03
  3.1480e+00  3.6874e-03
  3.1478e+00  3.5223e-03
  3.1480e+00  3.3683e-03
  3.1480e+00  3.2250e-03
  3.1472e+00  3.1956e-03
  3.1473e+00  3.0726e-03
  3.1474e+00  2.9576e-03
  3.1467e+00  2.9297e-03
  3.1466e+00  2.8276e-03
  3.1468e+00  2.7390e-03
  3.1466e+00  2.6585e-03
  3.1463e+00  2.5928e-03
  3.1467e+00  2.5531e-03
  3.1466e+00  2.4785e-03
  3.1470e+00  2.4366e-03
  3.1468e+00  2.3796e-03
  3.1475e+00  2.4293e-03
  3.1476e+00  2.3665e-03
  3.1477e+00  2.3052e-03
  3.1474e+00  2.2597e-03
  3.1477e+00  2.2239e-03
  3.1477e+00  2.1706e-03
  3.1478e+00  2.1225e-03
  3.1473e+00  2.1339e-03
  3.1471e+00  2.0909e-03
  3.1472e+00  2.0468e-03
  3.1474e+00  2.0079e-03
  3.1478e+00  2.0211e-03
  3.1480e+00  1.9841e-03
  3.1483e+00  1.9724e-03
  3.1485e+00  1.9393e-03
  3.1487e+00  1.9144e-03
  3.1487e+00  1.8779e-03
  3.1487e+00  1.8428e-03
  3.1483e+00  1.8425e-03
  3.1477e+00  1.9127e-03
  3.1476e+00  1.8824e-03
  3.1475e+00  1.8508e-03
  3.1478e+00  1.8354e-03
  3.1481e+00  1.8285e-03
  3.1482e+00  1.8014e-03
  3.1478e+00  1.8129e-03
  3.1475e+00  1.8046e-03
  3.1476e+00  1.7785e-03
  3.1478e+00  1.7596e-03
  3.1476e+00  1.7432e-03
  3.1475e+00  1.7179e-03
  3.1477e+00  1.6987e-03
  3.1477e+00  1.6746e-03
  3.1478e+00  1.6546e-03
  3.1477e+00  1.6357e-03
  3.1478e+00  1.6163e-03
  3.1481e+00  1.6179e-03
  3.1480e+00  1.5988e-03
  3.1480e+00  1.5774e-03
  3.1476e+00  1.5981e-03
  3.1474e+00  1.5893e-03
  3.1478e+00  1.6023e-03
  3.1478e+00  1.5825e-03
  3.1481e+00  1.5871e-03
  3.1480e+00  1.5714e-03
  3.1483e+00  1.5831e-03
  3.1483e+00  1.5639e-03
  3.1483e+00  1.5458e-03
  3.1485e+00  1.5390e-03
  3.1481e+00  1.5634e-03
  3.1479e+00  1.5604e-03
  3.1480e+00  1.5476e-03
  3.1481e+00  1.5307e-03
  3.1481e+00  1.5137e-03
  3.1484e+00  1.5289e-03
  3.1484e+00  1.5124e-03
  3.1484e+00  1.4963e-03
  3.1486e+00  1.4874e-03
  3.1487e+00  1.4768e-03
  3.1488e+00  1.4647e-03
  3.1489e+00  1.4552e-03
  3.1489e+00  1.4403e-03
  3.1488e+00  1.4307e-03
  3.1489e+00  1.4184e-03
