    integral_avg    integral_std
      9.9991e-01      0.0000e+00
      1.0002e+00      3.2841e-04
      9.9958e-01      6.8263e-04
      1.0010e+00      1.5003e-03
      1.0004e+00      1.3139e-03
      1.0004e+00      1.0731e-03
      9.9996e-01      9.9268e-04
      1.0007e+00      1.1532e-03
      1.0004e+00      1.0556e-03
      1.0009e+00      1.0630e-03
      1.0013e+00      1.0187e-03
      1.0011e+00      9.4953e-04
      1.0011e+00      8.7450e-04
      1.0012e+00      8.1011e-04
      1.0010e+00      7.6271e-04
      1.0005e+00      8.6780e-04
      1.0007e+00      8.2514e-04
      1.0008e+00      7.8476e-04
      1.0008e+00      7.4315e-04
      1.0008e+00      7.0538e-04
      1.0014e+00      8.4905e-04
      1.0015e+00      8.2741e-04
      1.0014e+00      8.0085e-04
      1.0012e+00      7.8520e-04
      1.0014e+00      7.6627e-04
      1.0012e+00      7.4576e-04
      1.0011e+00      7.2849e-04
      1.0010e+00      7.1518e-04
      1.0015e+00      8.5239e-04
      1.0016e+00      8.3463e-04
      1.0017e+00      8.1432e-04
      1.0017e+00      7.9171e-04
      1.0016e+00      7.6971e-04
      1.0015e+00      7.5906e-04
      1.0015e+00      7.3707e-04
      1.0012e+00      7.7210e-04
      1.0010e+00      7.6751e-04
      1.0010e+00      7.5016e-04
      1.0011e+00      7.4765e-04
      1.0012e+00      7.3519e-04
      1.0011e+00      7.3205e-04
      1.0009e+00      7.2516e-04
      1.0007e+00      7.4995e-04
      1.0008e+00      7.3728e-04
      1.0008e+00      7.2078e-04
      1.0007e+00      7.0668e-04
      1.0007e+00      6.9208e-04
      1.0006e+00      6.8076e-04
      1.0007e+00      6.6949e-04
      1.0008e+00      6.6024e-04
      1.0008e+00      6.4743e-04
      1.0007e+00      6.3492e-04
      1.0006e+00      6.3621e-04
      1.0006e+00      6.2595e-04
      1.0006e+00      6.1476e-04
      1.0006e+00      6.0378e-04
      1.0006e+00      5.9312e-04
      1.0004e+00      6.1488e-04
      1.0003e+00      6.0555e-04
      1.0004e+00      6.0105e-04
      1.0004e+00      5.9120e-04
      1.0004e+00      5.8260e-04
      1.0005e+00      5.8013e-04
      1.0006e+00      5.7867e-04
      1.0005e+00      5.7033e-04
      1.0006e+00      5.6455e-04
      1.0006e+00      5.5688e-04
      1.0005e+00      5.6060e-04
      1.0005e+00      5.5256e-04
      1.0005e+00      5.4901e-04
      1.0006e+00      5.4933e-04
      1.0005e+00      5.4567e-04
      1.0004e+00      5.4565e-04
      1.0004e+00      5.3999e-04
      1.0004e+00      5.3278e-04
      1.0003e+00      5.2728e-04
      1.0003e+00      5.2500e-04
      1.0002e+00      5.1953e-04
      1.0003e+00      5.1517e-04
      1.0002e+00      5.0932e-04
      1.0003e+00      5.1135e-04
      1.0003e+00      5.1133e-04
      1.0002e+00      5.0789e-04
      1.0001e+00      5.1051e-04
      1.0002e+00      5.1759e-04
      1.0002e+00      5.1258e-04
      1.0002e+00      5.0799e-04
      1.0002e+00      5.0470e-04
      1.0002e+00      4.9968e-04
      1.0002e+00      4.9434e-04
      1.0002e+00      4.8896e-04
      1.0002e+00      4.8676e-04
      1.0001e+00      4.8838e-04
      1.0002e+00      4.8861e-04
      1.0001e+00      4.8398e-04
      1.0002e+00      4.8111e-04
      1.0002e+00      4.7661e-04
      1.0002e+00      4.7175e-04
      1.0002e+00      4.6820e-04
      1.0002e+00      4.6502e-04
