    integral_avg    integral_std
      9.7650e-01      0.0000e+00
      9.8535e-01      8.8569e-03
      9.9165e-01      8.1139e-03
      9.8779e-01      6.9146e-03
      9.9671e-01      1.0398e-02
      9.9922e-01      8.8539e-03
      9.9761e-01      7.6533e-03
      9.9466e-01      7.2577e-03
      9.9364e-01      6.4809e-03
      9.9472e-01      5.8961e-03
      9.9569e-01      5.4212e-03
      9.9884e-01      5.8683e-03
      1.0015e+00      6.0372e-03
      1.0028e+00      5.7213e-03
      1.0026e+00      5.3286e-03
      1.0022e+00      5.0043e-03
      1.0024e+00      4.7072e-03
      1.0010e+00      4.6698e-03
      1.0004e+00      4.4512e-03
      1.0006e+00      4.2262e-03
      1.0006e+00      4.0199e-03
      1.0009e+00      3.8448e-03
      1.0008e+00      3.6749e-03
      9.9941e-01      3.7844e-03
      9.9899e-01      3.6540e-03
      9.9894e-01      3.5109e-03
      9.9857e-01      3.3984e-03
      9.9857e-01      3.2748e-03
      9.9824e-01      3.1771e-03
      9.9865e-01      3.0965e-03
      9.9775e-01      3.1272e-03
      9.9746e-01      3.0418e-03
      9.9678e-01      3.0251e-03
      9.9698e-01      2.9418e-03
      9.9748e-01      2.8992e-03
      9.9769e-01      2.8257e-03
      9.9731e-01      2.7745e-03
      9.9746e-01      2.7048e-03
      9.9743e-01      2.6347e-03
      9.9714e-01      2.5851e-03
      9.9782e-01      2.6125e-03
      9.9810e-01      2.5650e-03
      9.9782e-01      2.5200e-03
      9.9754e-01      2.4778e-03
      9.9758e-01      2.4223e-03
      9.9750e-01      2.3703e-03
      9.9728e-01      2.3298e-03
      9.9735e-01      2.2817e-03
      9.9760e-01      2.2491e-03
      9.9734e-01      2.2186e-03
      9.9774e-01      2.2101e-03
      9.9770e-01      2.1675e-03
      9.9772e-01      2.1263e-03
      9.9801e-01      2.1061e-03
      9.9759e-01      2.1098e-03
      9.9760e-01      2.0719e-03
      9.9726e-01      2.0646e-03
      9.9756e-01      2.0520e-03
      9.9757e-01      2.0170e-03
      9.9769e-01      1.9865e-03
      9.9746e-01      1.9677e-03
      9.9774e-01      1.9568e-03
      9.9775e-01      1.9256e-03
      9.9765e-01      1.8982e-03
      9.9749e-01      1.8751e-03
      9.9741e-01      1.8482e-03
      9.9714e-01      1.8403e-03
      9.9709e-01      1.8138e-03
      9.9744e-01      1.8210e-03
      9.9740e-01      1.7952e-03
      9.9730e-01      1.7727e-03
      9.9740e-01      1.7507e-03
      9.9720e-01      1.7376e-03
      9.9743e-01      1.7288e-03
      9.9752e-01      1.7084e-03
      9.9797e-01      1.7450e-03
      9.9788e-01      1.7246e-03
      9.9826e-01      1.7446e-03
      9.9840e-01      1.7275e-03
      9.9830e-01      1.7085e-03
      9.9813e-01      1.6956e-03
      9.9827e-01      1.6804e-03
      9.9837e-01      1.6632e-03
      9.9807e-01      1.6703e-03
      9.9789e-01      1.6611e-03
      9.9800e-01      1.6457e-03
      9.9820e-01      1.6388e-03
      9.9847e-01      1.6434e-03
      9.9849e-01      1.6249e-03
      9.9837e-01      1.6110e-03
      9.9804e-01      1.6260e-03
      9.9786e-01      1.6184e-03
      9.9783e-01      1.6014e-03
      9.9766e-01      1.5931e-03
      9.9777e-01      1.5799e-03
      9.9777e-01      1.5634e-03
      9.9756e-01      1.5620e-03
      9.9753e-01      1.5462e-03
      9.9743e-01      1.5339e-03
      9.9730e-01      1.5241e-03
