steps kin_en_avg kin_en_std
50 1.80651 0
100 1.81925 0.012744
150 1.82883 0.01208
200 1.83526 0.0106911
250 1.83701 0.00846414
300 1.83335 0.00782149
350 1.83261 0.00665163
400 1.83472 0.00613659
450 1.83874 0.00673728
500 1.84255 0.00712911
550 1.84607 0.00734713
600 1.84792 0.00695763
650 1.84981 0.00667344
700 1.85306 0.00698238
750 1.85182 0.00661801
800 1.85286 0.00627714
850 1.85212 0.00594213
900 1.85259 0.00562161
950 1.85228 0.00532648
1000 1.85258 0.00506248
1050 1.85267 0.00481612
1100 1.85123 0.00481145
1150 1.84955 0.00489533
1200 1.84805 0.00492016
1250 1.84667 0.00491723
1300 1.84618 0.00475034
1350 1.84569 0.00459733
1400 1.84482 0.00451296
1450 1.84443 0.00437273
1500 1.84428 0.00422698
1550 1.84456 0.00409824
1600 1.84465 0.00396893
1650 1.844 0.00390072
1700 1.84347 0.00382081
1750 1.84177 0.00408082
1800 1.8401 0.0043045
1850 1.83839 0.00452074
1900 1.83678 0.00468595
1950 1.83571 0.0046886
2000 1.83501 0.00462284
2050 1.83461 0.00452617
2100 1.83393 0.00447016
2150 1.83337 0.00440087
2200 1.83202 0.00450392
2250 1.83034 0.00471432
2300 1.82949 0.00468823
2350 1.8289 0.00462546
2400 1.82903 0.00452993
2450 1.82856 0.00446102
2500 1.8276 0.0044742
2550 1.8269 0.00444178
2600 1.82596 0.00445558
2650 1.82515 0.00444603
2700 1.82413 0.00447895
2750 1.82312 0.00451152
2800 1.8221 0.0045456
2850 1.8211 0.00457661
2900 1.82002 0.00462417
2950 1.81935 0.00459531
3000 1.81864 0.0045736
3050 1.81812 0.00452775
3100 1.8174 0.00451136
3150 1.81674 0.00448892
3200 1.81617 0.00445416
3250 1.81537 0.00445794
3300 1.81453 0.00446928
3350 1.81389 0.00444881
3400 1.8135 0.00440029
3450 1.8129 0.0043763
3500 1.81277 0.00431545
3550 1.81239 0.00427071
3600 1.812 0.00422947
3650 1.81202 0.00417117
3700 1.81179 0.00412057
3750 1.81206 0.00407404
3800 1.81247 0.00404137
3850 1.81324 0.00406237
3900 1.81395 0.00407222
3950 1.81418 0.00402675
4000 1.81406 0.00397781
4050 1.81345 0.00397529
4100 1.81285 0.0039722
4150 1.81215 0.00398672
4200 1.81188 0.00394816
4250 1.8113 0.00394456
4300 1.81103 0.00390781
4350 1.81044 0.00390709
4400 1.8098 0.00391527
4450 1.80934 0.00389784
4500 1.80899 0.00387055
4550 1.80885 0.00383044
4600 1.80882 0.00378868
4650 1.80868 0.00375036
4700 1.80843 0.00371846
4750 1.80813 0.00369114
4800 1.80794 0.00365749
4850 1.8075 0.00364582
4900 1.80701 0.00364178
4950 1.80644 0.00364963
5000 1.80562 0.00370597
5050 1.80506 0.00371093
5100 1.80473 0.00368924
5150 1.80471 0.00365332
5200 1.80486 0.00362107
5250 1.80506 0.00359219
5300 1.80514 0.00355908
5350 1.80512 0.00352574
5400 1.80492 0.00349847
5450 1.80498 0.00346667
5500 1.80509 0.00343675
5550 1.80515 0.00340618
5600 1.80541 0.00338589
5650 1.8059 0.00339125
5700 1.80631 0.0033865
5750 1.80657 0.00336689
5800 1.80675 0.00334258
5850 1.80644 0.00332799
5900 1.80623 0.00330666
5950 1.80591 0.00329382
6000 1.80597 0.00326673
6050 1.80591 0.00324009
6100 1.806 0.00321452
6150 1.806 0.00318829
6200 1.80617 0.00316701
6250 1.80629 0.00314365
6300 1.80644 0.00312213
6350 1.80651 0.00309834
6400 1.80655 0.00307424
6450 1.80662 0.00305124
6500 1.80654 0.00302865
6550 1.80657 0.00300554
6600 1.80659 0.0029828
6650 1.80636 0.00296966
6700 1.80631 0.00294778
6750 1.80614 0.00293074
6800 1.8059 0.0029189
6850 1.8057 0.00290499
6900 1.80541 0.00289759
6950 1.80531 0.00287853
7000 1.80505 0.00287018
7050 1.80496 0.00285105
7100 1.80482 0.00283453
7150 1.80466 0.00281879
7200 1.80457 0.00280065
7250 1.80445 0.00278374
7300 1.80441 0.00276501
7350 1.8043 0.00274822
7400 1.80408 0.00273818
7450 1.80393 0.002724
7500 1.80364 0.00272138
7550 1.8034 0.00271413
7600 1.80313 0.00270908
7650 1.80272 0.00272265
7700 1.80242 0.00272135
7750 1.80231 0.00270606
7800 1.80225 0.00268938
7850 1.80217 0.00267347
7900 1.80218 0.00265653
7950 1.80221 0.00263991
8000 1.80232 0.00262591
8050 1.80256 0.00262063
8100 1.80278 0.00261314
8150 1.80293 0.00260142
8200 1.80306 0.0025891
8250 1.80319 0.00257657
8300 1.80341 0.00256997
8350 1.80368 0.00256898
8400 1.80394 0.00256727
8450 1.80412 0.00255845
8500 1.80428 0.00254781
8550 1.80443 0.00253773
8600 1.80472 0.00253903
8650 1.80466 0.00252508
8700 1.80469 0.00251075
8750 1.80476 0.00249737
8800 1.80494 0.00248932
8850 1.80515 0.00248429
8900 1.80535 0.00247848
8950 1.80532 0.00246478
9000 1.8053 0.0024511
9050 1.80526 0.00243791
9100 1.80527 0.00242452
9150 1.80541 0.00241489
9200 1.80552 0.00240454
9250 1.80558 0.00239218
9300 1.80569 0.00238197
9350 1.80569 0.00236921
9400 1.80573 0.00235689
9450 1.80584 0.0023472
9500 1.80611 0.00235
9550 1.80648 0.00236763
9600 1.80666 0.00236184
9650 1.80696 0.00236867
9700 1.80722 0.00237038
9750 1.80737 0.00236304
9800 1.80747 0.00235323
9850 1.80747 0.00234126
9900 1.80754 0.00233075
9950 1.80761 0.00232002
10000 1.80779 0.00231496
