steps pot_en_avg pot_en_std
100 -0.379022 0
200 -0.378451 0.000571179
300 -0.382884 0.00444518
400 -0.389935 0.00772021
500 -0.392831 0.0066442
600 -0.39431 0.00562306
700 -0.399616 0.00712321
800 -0.404367 0.00778648
900 -0.405564 0.00697044
1000 -0.408805 0.00702686
1100 -0.411201 0.00679273
1200 -0.411175 0.00620094
1300 -0.409846 0.00585676
1400 -0.408012 0.00572404
1500 -0.406955 0.00543272
1600 -0.407452 0.00510615
1700 -0.406738 0.00484932
1800 -0.406589 0.00457439
1900 -0.40694 0.00434116
2000 -0.408316 0.00434223
2100 -0.410261 0.00456529
2200 -0.411557 0.00454147
2300 -0.413306 0.00467883
2400 -0.414372 0.00460473
2500 -0.416144 0.00475911
2600 -0.418097 0.00497182
2700 -0.419241 0.00491897
2800 -0.420127 0.00482217
2900 -0.421268 0.00479084
3000 -0.421538 0.00463625
3100 -0.421872 0.00449663
3200 -0.422816 0.00445505
3300 -0.423991 0.0044749
3400 -0.425769 0.00469132
3500 -0.426664 0.0046424
3600 -0.426172 0.00453832
3700 -0.425399 0.00448115
3800 -0.425569 0.00436495
3900 -0.42615 0.00429104
4000 -0.426452 0.00419329
4100 -0.426883 0.00411233
4200 -0.425754 0.00416905
4300 -0.426057 0.00408221
4400 -0.426366 0.00400032
4500 -0.426184 0.00391467
4600 -0.426297 0.00383031
4700 -0.426015 0.00375854
4800 -0.425973 0.00367965
4900 -0.426285 0.00361729
5000 -0.426176 0.00354588
5100 -0.426226 0.00347601
5200 -0.426274 0.00340885
5300 -0.42604 0.0033521
5400 -0.425219 0.00339042
5500 -0.424823 0.00335164
5600 -0.42441 0.0033171
5700 -0.423354 0.00342521
5800 -0.423012 0.00338294
5900 -0.422611 0.00334921
6000 -0.421651 0.00342991
6100 -0.420903 0.00345528
6200 -0.420371 0.00344047
6300 -0.420223 0.00338863
6400 -0.420134 0.00333646
6500 -0.419768 0.00330506
6600 -0.419318 0.00328549
6700 -0.419314 0.00323608
6800 -0.419055 0.00319866
6900 -0.418408 0.00321763
7000 -0.418411 0.00317133
7100 -0.418357 0.00312682
7200 -0.4181 0.00309371
7300 -0.418024 0.00305199
7400 -0.417985 0.00301072
7500 -0.417867 0.00297264
7600 -0.417988 0.00293577
7700 -0.418093 0.00289929
7800 -0.41821 0.00286426
7900 -0.418118 0.00282927
8000 -0.418233 0.00279602
8100 -0.417893 0.00278215
8200 -0.41774 0.00275227
8300 -0.417363 0.00274489
8400 -0.417238 0.00271489
8500 -0.417063 0.00268847
8600 -0.416438 0.00272959
8700 -0.415721 0.0027917
8800 -0.415011 0.00284959
8900 -0.414297 0.00290634
9000 -0.413693 0.00293675
9100 -0.413065 0.00297141
9200 -0.41241 0.00301091
9300 -0.41166 0.00307141
9400 -0.410797 0.00315866
9500 -0.410377 0.0031534
9600 -0.409797 0.00317387
9700 -0.409385 0.00316779
9800 -0.409084 0.00314974
9900 -0.408738 0.00313695
10000 -0.408605 0.00310827
10100 -0.408402 0.00308404
10200 -0.408247 0.00305757
10300 -0.408278 0.0030279
10400 -0.407983 0.00301313
10500 -0.407521 0.00301986
10600 -0.407384 0.00299434
10700 -0.407113 0.00297864
10800 -0.406788 0.00296876
10900 -0.406353 0.00297335
11000 -0.405624 0.00303508
11100 -0.405032 0.00306528
11200 -0.404316 0.00312116
11300 -0.403688 0.00315642
11400 -0.403357 0.00314612
11500 -0.40308 0.00313085
11600 -0.402741 0.00312228
11700 -0.402504 0.00310454
11800 -0.402501 0.00307812
11900 -0.402626 0.00305469
12000 -0.402612 0.00302916
12100 -0.402236 0.00302743
12200 -0.402142 0.00300397
12300 -0.402099 0.00297976
12400 -0.401646 0.00299025
12500 -0.401184 0.00300188
12600 -0.400835 0.00299833
12700 -0.400591 0.00298468
12800 -0.400267 0.00297886
12900 -0.3998 0.00299238
13000 -0.399537 0.00298095
13100 -0.399289 0.00296842
13200 -0.39889 0.00297282
13300 -0.398599 0.00296463
13400 -0.398283 0.00295941
13500 -0.39771 0.00299276
13600 -0.397169 0.00301947
13700 -0.396872 0.003012
13800 -0.396507 0.00301238
13900 -0.396124 0.003015
14000 -0.395677 0.0030266
14100 -0.395203 0.00304224
14200 -0.394857 0.00304048
14300 -0.394465 0.00304444
14400 -0.393981 0.00306184
14500 -0.393595 0.00306502
14600 -0.393175 0.00307272
14700 -0.393008 0.00305634
14800 -0.392813 0.00304184
14900 -0.39258 0.00303032
15000 -0.392208 0.00303299
