steps temperature_avg temperature_std
100 1.20517 0
200 1.20968 0.004507
300 1.21096 0.00290139
400 1.21767 0.00701049
500 1.22096 0.00634774
600 1.22228 0.00534874
700 1.22604 0.00587892
800 1.22878 0.00578585
900 1.23163 0.00584053
1000 1.23529 0.00638331
1100 1.23869 0.00669648
1200 1.24 0.00625253
1300 1.24436 0.00721444
1400 1.24714 0.00723732
1500 1.24828 0.00683228
1600 1.24807 0.00639444
1700 1.24989 0.00627607
1800 1.2517 0.00618814
1900 1.25257 0.00591891
2000 1.2528 0.00561981
2100 1.25251 0.0053535
2200 1.25236 0.00510651
2300 1.25208 0.00488753
2400 1.25148 0.00471763
2500 1.25071 0.00459034
2600 1.24967 0.00453128
2700 1.24881 0.00444387
2800 1.24788 0.00438223
2900 1.24723 0.00427789
3000 1.24676 0.00415961
3100 1.24609 0.00407961
3200 1.24559 0.00398143
3300 1.2449 0.00391991
3400 1.24443 0.00383147
3500 1.2438 0.00377281
3600 1.24324 0.00370955
3700 1.24365 0.00363115
3800 1.24351 0.00353699
3900 1.24307 0.00347389
4000 1.24318 0.00338786
4100 1.24363 0.00333494
4200 1.24382 0.00325976
4300 1.24369 0.00318561
4400 1.2437 0.00311241
4500 1.24381 0.00304444
4600 1.24389 0.00297848
4700 1.24349 0.00294171
4800 1.2428 0.00296103
4900 1.24254 0.0029119
5000 1.24261 0.00285411
5100 1.24255 0.00279836
5200 1.24216 0.00277137
5300 1.24153 0.00278987
5400 1.24131 0.00274672
5500 1.24109 0.00270507
5600 1.2408 0.00267282
5700 1.24007 0.00272521
5800 1.23974 0.00269721
5900 1.23902 0.00274831
6000 1.23792 0.00291612
6100 1.23722 0.00295187
6200 1.23656 0.0029794
6300 1.23564 0.00307047
6400 1.23502 0.00308615
6500 1.23443 0.00309513
6600 1.23395 0.00308555
6700 1.23331 0.00310583
6800 1.23274 0.00311141
6900 1.23208 0.00313666
7000 1.23152 0.00314281
7100 1.231 0.00314083
7200 1.23068 0.0031133
7300 1.23021 0.00310691
7400 1.22952 0.00314037
7500 1.22899 0.00314343
7600 1.22857 0.0031295
7700 1.22768 0.00321563
7800 1.22692 0.00326417
7900 1.22655 0.00324309
8000 1.22592 0.00326428
8100 1.22516 0.00331211
8200 1.2247 0.00330406
8300 1.22387 0.00336789
8400 1.22317 0.00339929
8500 1.22252 0.00342253
8600 1.22178 0.00346291
8700 1.22114 0.00348216
8800 1.22063 0.00347921
8900 1.22039 0.00344812
9000 1.21997 0.00343571
9100 1.21934 0.00345541
9200 1.21939 0.00341801
9300 1.21941 0.00338111
9400 1.21954 0.00334731
9500 1.21956 0.00331201
9600 1.21938 0.00328239
9700 1.21949 0.00325012
9800 1.21956 0.00321767
9900 1.21954 0.00318511
10000 1.21926 0.00316508
10100 1.21887 0.00315731
10200 1.21867 0.00313287
10300 1.2186 0.00310317
10400 1.21847 0.00307595
10500 1.21833 0.00304941
10600 1.21821 0.00302314
10700 1.21821 0.00299475
10800 1.21814 0.00296767
10900 1.21787 0.00295299
11000 1.21758 0.00294017
11100 1.21756 0.00291365
11200 1.21748 0.00288844
11300 1.21721 0.00287562
11400 1.21707 0.00285394
11500 1.21693 0.00283212
11600 1.21663 0.00282394
11700 1.2163 0.00281868
11800 1.21608 0.00280344
11900 1.21593 0.00278375
12000 1.21575 0.00276626
12100 1.21562 0.00274675
12200 1.21553 0.00272543
12300 1.21537 0.00270833
12400 1.2151 0.00269927
12500 1.21506 0.00267798
12600 1.21499 0.0026576
12700 1.21499 0.00263659
12800 1.21478 0.00262387
12900 1.21443 0.0026265
13000 1.21446 0.00260633
13100 1.21454 0.0025875
13200 1.21444 0.00256956
13300 1.21405 0.00257991
13400 1.21401 0.00256098
13500 1.21405 0.00254227
13600 1.21402 0.00252361
13700 1.21405 0.00250531
13800 1.21429 0.0024979
13900 1.21448 0.00248722
14000 1.21471 0.0024804
14100 1.21484 0.00246593
14200 1.21511 0.00246407
14300 1.21551 0.00247878
14400 1.21589 0.00249081
14500 1.2161 0.00248265
14600 1.21635 0.0024783
14700 1.21661 0.00247467
14800 1.21663 0.00245803
14900 1.21675 0.00244399
15000 1.21696 0.00243754
