steps tot_en_avg tot_en_std
50 1.42631 0
100 1.42635 3.52814e-05
150 1.4263 5.2691e-05
200 1.42631 3.84842e-05
250 1.42636 5.75649e-05
300 1.42636 4.70062e-05
350 1.42636 3.97404e-05
400 1.42633 4.25065e-05
450 1.42633 3.76062e-05
500 1.42633 3.38067e-05
550 1.42634 3.37583e-05
600 1.42635 3.38292e-05
650 1.42634 3.25993e-05
700 1.42635 3.15715e-05
750 1.42636 3.12725e-05
800 1.42636 2.92571e-05
850 1.42637 2.84524e-05
900 1.42638 2.86941e-05
950 1.42638 2.72452e-05
1000 1.42639 2.63739e-05
1050 1.42639 2.53021e-05
1100 1.4264 2.43525e-05
1150 1.4264 2.3301e-05
1200 1.4264 2.334e-05
1250 1.4264 2.31049e-05
1300 1.4264 2.2771e-05
1350 1.4264 2.19556e-05
1400 1.4264 2.13157e-05
1450 1.4264 2.05944e-05
1500 1.4264 1.98961e-05
1550 1.4264 1.92472e-05
1600 1.4264 1.88613e-05
1650 1.42641 1.86265e-05
1700 1.42641 1.80721e-05
1750 1.42641 1.78126e-05
1800 1.42641 1.73765e-05
1850 1.42641 1.69005e-05
1900 1.42641 1.67905e-05
1950 1.4264 1.65518e-05
2000 1.4264 1.62754e-05
2050 1.4264 1.59842e-05
2100 1.4264 1.56979e-05
2150 1.4264 1.5764e-05
2200 1.42641 1.62231e-05
2250 1.42641 1.59e-05
2300 1.42641 1.55538e-05
2350 1.42641 1.52251e-05
2400 1.42642 1.57028e-05
2450 1.42642 1.54176e-05
2500 1.42642 1.60287e-05
2550 1.42642 1.59935e-05
2600 1.42643 1.57191e-05
2650 1.42643 1.5612e-05
2700 1.42643 1.63473e-05
2750 1.42643 1.61383e-05
2800 1.42643 1.6066e-05
2850 1.42643 1.57819e-05
2900 1.42644 1.55274e-05
2950 1.42643 1.55363e-05
3000 1.42643 1.52839e-05
3050 1.42643 1.54641e-05
3100 1.42643 1.52722e-05
3150 1.42643 1.52002e-05
3200 1.42642 1.50662e-05
3250 1.42642 1.48486e-05
3300 1.42642 1.49338e-05
3350 1.42642 1.47225e-05
3400 1.42642 1.45068e-05
3450 1.42642 1.45594e-05
3500 1.42642 1.44866e-05
3550 1.42642 1.46902e-05
3600 1.42642 1.47876e-05
3650 1.42642 1.45918e-05
3700 1.42642 1.43939e-05
3750 1.42642 1.42049e-05
3800 1.42642 1.40247e-05
3850 1.42642 1.39664e-05
3900 1.42642 1.37866e-05
3950 1.42642 1.3755e-05
4000 1.42642 1.35846e-05
4050 1.42642 1.34399e-05
4100 1.42642 1.34136e-05
4150 1.42642 1.3289e-05
4200 1.42641 1.31537e-05
4250 1.42641 1.30406e-05
4300 1.42641 1.28881e-05
4350 1.42641 1.27431e-05
4400 1.42641 1.26312e-05
4450 1.42641 1.24892e-05
4500 1.42641 1.23534e-05
4550 1.42641 1.22476e-05
4600 1.42641 1.21156e-05
4650 1.42642 1.25112e-05
4700 1.42641 1.27687e-05
4750 1.42641 1.26932e-05
4800 1.42641 1.25612e-05
4850 1.42641 1.24402e-05
4900 1.42641 1.23342e-05
4950 1.42641 1.22371e-05
5000 1.42641 1.21833e-05
5050 1.42641 1.22158e-05
5100 1.42641 1.22652e-05
5150 1.42641 1.2178e-05
5200 1.4264 1.22438e-05
5250 1.42641 1.21365e-05
5300 1.42641 1.20224e-05
5350 1.4264 1.19531e-05
5400 1.4264 1.18434e-05
5450 1.4264 1.18084e-05
5500 1.4264 1.17066e-05
5550 1.4264 1.16209e-05
5600 1.4264 1.15384e-05
5650 1.4264 1.1558e-05
5700 1.4264 1.14612e-05
5750 1.4264 1.14696e-05
5800 1.4264 1.1408e-05
5850 1.42641 1.13579e-05
5900 1.4264 1.12749e-05
5950 1.42641 1.119e-05
6000 1.4264 1.11552e-05
6050 1.4264 1.10628e-05
6100 1.4264 1.09796e-05
6150 1.4264 1.09336e-05
6200 1.4264 1.08451e-05
6250 1.4264 1.0781e-05
6300 1.4264 1.06955e-05
6350 1.4264 1.06461e-05
6400 1.4264 1.06839e-05
6450 1.4264 1.06014e-05
6500 1.4264 1.06858e-05
6550 1.4264 1.0619e-05
6600 1.4264 1.05998e-05
6650 1.4264 1.059e-05
6700 1.4264 1.06476e-05
6750 1.4264 1.05695e-05
6800 1.42639 1.0527e-05
6850 1.42639 1.04503e-05
6900 1.42639 1.04632e-05
6950 1.42639 1.03884e-05
7000 1.42639 1.03799e-05
7050 1.42639 1.03099e-05
7100 1.42639 1.02444e-05
7150 1.42639 1.03373e-05
7200 1.42639 1.03385e-05
7250 1.42639 1.05995e-05
7300 1.42639 1.05266e-05
7350 1.42639 1.04758e-05
7400 1.42639 1.04092e-05
7450 1.42639 1.03578e-05
7500 1.42639 1.03312e-05
7550 1.42639 1.03653e-05
7600 1.42639 1.03024e-05
7650 1.42639 1.02349e-05
7700 1.42639 1.01695e-05
7750 1.42638 1.01357e-05
7800 1.42638 1.01367e-05
7850 1.42638 1.00754e-05
7900 1.42638 1.0081e-05
7950 1.42638 1.00298e-05
8000 1.42638 9.96735e-06
8050 1.42638 9.90706e-06
8100 1.42638 9.89055e-06
8150 1.42638 9.83359e-06
8200 1.42638 9.81729e-06
8250 1.42639 9.76604e-06
8300 1.42639 9.82589e-06
8350 1.42639 9.86516e-06
8400 1.42639 9.97499e-06
8450 1.42639 9.92365e-06
8500 1.42639 9.89776e-06
8550 1.42639 9.83972e-06
8600 1.42639 9.89158e-06
8650 1.42639 9.87352e-06
8700 1.42639 9.83245e-06
8750 1.42639 9.77867e-06
8800 1.42639 9.72506e-06
8850 1.42639 9.72303e-06
8900 1.42639 9.7458e-06
8950 1.42639 9.69161e-06
9000 1.42639 9.64654e-06
9050 1.42639 9.64173e-06
9100 1.42639 9.63334e-06
9150 1.42639 9.608e-06
9200 1.42639 9.55882e-06
9250 1.42639 9.58652e-06
9300 1.42639 9.53817e-06
9350 1.42639 9.48823e-06
9400 1.42639 9.48063e-06
9450 1.42639 9.45148e-06
9500 1.42639 9.49457e-06
9550 1.42639 9.50232e-06
9600 1.42639 9.48016e-06
9650 1.42639 9.44068e-06
9700 1.42639 9.42291e-06
9750 1.42639 9.40935e-06
9800 1.42639 9.37802e-06
9850 1.42639 9.33212e-06
9900 1.42638 9.2881e-06
9950 1.42638 9.38237e-06
10000 1.42638 9.33748e-06
