steps kin_en_avg kin_en_std
100 1.55708 0
200 1.44747 0.10961
300 1.39181 0.0842788
400 1.39048 0.0596089
500 1.36362 0.0534175
600 1.35179 0.0451914
700 1.3307 0.0436299
800 1.3167 0.0402957
900 1.31788 0.0355573
1000 1.31586 0.0318674
1100 1.31646 0.0288313
1200 1.32321 0.0271703
1300 1.32383 0.0250007
1400 1.31924 0.0235977
1500 1.31633 0.0221598
1600 1.31235 0.0211065
1700 1.31142 0.019848
1800 1.30926 0.0188371
1900 1.3073 0.0179255
2000 1.31073 0.0173476
2100 1.30959 0.0165401
2200 1.31161 0.0158998
2300 1.31141 0.0151942
2400 1.31056 0.0145724
2500 1.30816 0.0141809
2600 1.30895 0.0136475
2700 1.30702 0.013274
2800 1.31108 0.0134202
2900 1.31344 0.013163
3000 1.31697 0.0131971
3100 1.32079 0.0133236
3200 1.31982 0.0129372
3300 1.31711 0.0128277
3400 1.31508 0.0126086
3500 1.3149 0.0122444
3600 1.31448 0.0119069
3700 1.31481 0.0115853
3800 1.31426 0.0112895
3900 1.31329 0.0110387
4000 1.31582 0.0110519
4100 1.31439 0.0108736
4200 1.31185 0.0109116
4300 1.31036 0.010758
4400 1.31102 0.0105311
4500 1.31149 0.0103055
4600 1.31123 0.0100825
4700 1.31056 0.00988817
4800 1.31075 0.00968189
4900 1.31063 0.00948308
5000 1.3101 0.00930625
5100 1.31036 0.00912556
5200 1.31048 0.00894918
5300 1.30938 0.00884732
5400 1.30916 0.00868474
5500 1.30735 0.00871578
5600 1.30557 0.00874127
5700 1.30453 0.00864954
5800 1.3039 0.00852205
5900 1.30417 0.00838046
6000 1.30381 0.00824717
6100 1.30293 0.00815856
6200 1.30373 0.00806581
6300 1.30409 0.00794497
6400 1.30399 0.00782055
6500 1.30371 0.00770448
6600 1.30208 0.00776014
6700 1.30187 0.00764619
6800 1.30222 0.0075412
6900 1.30102 0.00752714
7000 1.30025 0.00745903
7100 1.30135 0.00743434
7200 1.301 0.0073387
7300 1.30002 0.00730349
7400 1.29914 0.00725729
7500 1.29879 0.00716863
7600 1.29694 0.00731131
7700 1.29628 0.00724598
7800 1.29577 0.00717037
7900 1.29585 0.00707943
8000 1.2955 0.00699882
8100 1.29545 0.00691205
8200 1.29518 0.00683247
8300 1.29425 0.00681442
8400 1.29286 0.00687438
8500 1.29247 0.00680435
8600 1.29161 0.00677932
8700 1.2918 0.00670359
8800 1.29177 0.00662703
8900 1.29251 0.00659351
9000 1.29265 0.00652145
9100 1.29321 0.00647321
9200 1.29361 0.00641478
9300 1.29296 0.00637808
9400 1.29249 0.00632773
9500 1.29411 0.00646875
9600 1.29406 0.00640125
9700 1.29364 0.00634894
9800 1.29396 0.00629231
9900 1.29379 0.00623084
10000 1.29257 0.00628711
10100 1.29264 0.00622498
10200 1.29309 0.00617945
10300 1.29386 0.00616801
10400 1.294 0.00611004
10500 1.2927 0.00619036
10600 1.29167 0.00621773
10700 1.29157 0.0061601
10800 1.29147 0.00610364
10900 1.29137 0.00604819
11000 1.29093 0.00600889
11100 1.29026 0.00599257
11200 1.29026 0.00593883
11300 1.29055 0.00589301
11400 1.29132 0.00589235
11500 1.29099 0.00585003
11600 1.29136 0.00581064
11700 1.29086 0.00578219
11800 1.2901 0.0057824
11900 1.29025 0.00573545
12000 1.28974 0.00571034
12100 1.28876 0.00574735
12200 1.2884 0.00571105
12300 1.28915 0.00571327
12400 1.28937 0.00567145
12500 1.28882 0.00565331
12600 1.28786 0.00569026
12700 1.2878 0.00564554
12800 1.28811 0.00560963
12900 1.28786 0.00557151
13000 1.28752 0.00553884
13100 1.28771 0.0054998
13200 1.28831 0.00549042
13300 1.28923 0.00552661
13400 1.28933 0.00548601
13500 1.28944 0.00544645
13600 1.28964 0.00540998
13700 1.29014 0.00539378
13800 1.29027 0.00535595
13900 1.28963 0.00535537
14000 1.28922 0.00533238
14100 1.28937 0.00529636
14200 1.28938 0.00525894
14300 1.28942 0.00522225
14400 1.28922 0.00518991
14500 1.28884 0.00516813
14600 1.28899 0.00513498
14700 1.28942 0.00511764
14800 1.29026 0.00515295
14900 1.29041 0.00512023
15000 1.29039 0.00508602
