steps pot_en_avg pot_en_std
50 -5.34046 0
100 -5.29879 0.041671
150 -5.25553 0.0494989
200 -5.25199 0.0351795
250 -5.26065 0.0285926
300 -5.25113 0.0252123
350 -5.24513 0.0221383
400 -5.24589 0.0191876
450 -5.2473 0.01698
500 -5.24306 0.0157668
550 -5.24331 0.0142638
600 -5.25178 0.0155328
650 -5.25323 0.0143615
700 -5.24939 0.0138386
750 -5.24948 0.0128834
800 -5.25073 0.0121166
850 -5.24623 0.0122409
900 -5.24692 0.0115614
950 -5.24598 0.0109765
1000 -5.24551 0.0104236
1050 -5.24511 0.00992278
1100 -5.24258 0.00979396
1150 -5.2393 0.00991803
1200 -5.2389 0.0095041
1250 -5.2391 0.00911829
1300 -5.23868 0.0087708
1350 -5.23719 0.00856954
1400 -5.23527 0.00847806
1450 -5.23546 0.00818259
1500 -5.23377 0.00808436
1550 -5.23099 0.00829815
1600 -5.23047 0.00805123
1650 -5.22992 0.00782276
1700 -5.2274 0.00799894
1750 -5.22667 0.0078006
1800 -5.22765 0.00764395
1850 -5.2285 0.00748204
1900 -5.22919 0.00731573
1950 -5.22864 0.00714677
2000 -5.22755 0.00705056
2050 -5.2284 0.00692892
2100 -5.22764 0.00680528
2150 -5.22636 0.00676634
2200 -5.22584 0.00663138
2250 -5.22528 0.00650679
2300 -5.22589 0.00639365
2350 -5.22517 0.00629756
2400 -5.22461 0.00619057
2450 -5.22374 0.00612552
2500 -5.22358 0.00600388
2550 -5.22289 0.0059248
2600 -5.22236 0.00583412
2650 -5.22377 0.00589484
2700 -5.22436 0.00581424
2750 -5.22522 0.00577202
2800 -5.22415 0.00576768
2850 -5.22433 0.00566836
2900 -5.22373 0.00560149
2950 -5.2248 0.00560808
3000 -5.22522 0.00552992
3050 -5.22444 0.00549488
3100 -5.22428 0.0054079
3150 -5.22443 0.00532363
3200 -5.22397 0.00525961
3250 -5.22359 0.0051922
3300 -5.22395 0.00512523
3350 -5.22463 0.00509483
3400 -5.22576 0.00514403
3450 -5.22574 0.00506897
3500 -5.22495 0.00505804
3550 -5.22464 0.00499616
3600 -5.22458 0.00492659
3650 -5.22436 0.00486374
3700 -5.2243 0.00479788
3750 -5.22466 0.00474686
3800 -5.22455 0.00468531
3850 -5.22408 0.00464733
3900 -5.22469 0.00462702
3950 -5.22541 0.0046241
4000 -5.22512 0.00457524
4050 -5.22555 0.0045392
4100 -5.22527 0.00449217
4150 -5.22477 0.00446554
4200 -5.22548 0.00446833
4250 -5.22615 0.00446638
4300 -5.22549 0.00446284
4350 -5.22478 0.00446795
4400 -5.22482 0.00441706
4450 -5.22426 0.00440296
4500 -5.22402 0.00436072
4550 -5.22349 0.00434511
4600 -5.2234 0.00429842
4650 -5.22301 0.00426986
4700 -5.22306 0.00422446
4750 -5.22302 0.00417996
4800 -5.22226 0.00420515
4850 -5.22273 0.00418737
4900 -5.22313 0.00416397
4950 -5.22352 0.0041402
5000 -5.22445 0.00420196
5050 -5.22457 0.00416211
5100 -5.2247 0.00412308
5150 -5.22414 0.00412177
5200 -5.224 0.00408427
5250 -5.22384 0.00404833
5300 -5.22417 0.00402354
5350 -5.22455 0.00400405
5400 -5.22427 0.00397644
5450 -5.22462 0.00395469
5500 -5.22492 0.00393034
5550 -5.2244 0.00392909
5600 -5.22427 0.00389611
5650 -5.22453 0.00387013
5700 -5.22451 0.00383608
5750 -5.22472 0.00380819
5800 -5.22471 0.00377522
5850 -5.22513 0.0037669
5900 -5.22484 0.0037466
5950 -5.22469 0.00371801
6000 -5.225 0.00370036
6050 -5.22505 0.00366999
6100 -5.22533 0.00365026
6150 -5.22494 0.00364154
6200 -5.22421 0.00368508
6250 -5.22439 0.00366019
6300 -5.22429 0.00363251
6350 -5.22462 0.00361912
6400 -5.2248 0.00359486
6450 -5.22444 0.00358409
6500 -5.22451 0.00355711
6550 -5.22514 0.00358438
6600 -5.22483 0.00357015
6650 -5.22441 0.00356798
6700 -5.22447 0.00354167
6750 -5.22442 0.00351561
6800 -5.22463 0.00349584
6850 -5.22507 0.00349783
6900 -5.22504 0.00347248
6950 -5.22538 0.00346391
7000 -5.22562 0.00344743
7050 -5.22578 0.00342634
7100 -5.22576 0.00340214
7150 -5.22603 0.00338873
7200 -5.22654 0.00340364
7250 -5.22644 0.00338146
7300 -5.22691 0.00339058
7350 -5.22682 0.00336881
7400 -5.22676 0.0033465
7450 -5.22699 0.00333222
7500 -5.22732 0.00332624
7550 -5.22731 0.00330415
7600 -5.22786 0.00332778
7650 -5.2283 0.00333462
7700 -5.22831 0.00331292
7750 -5.22829 0.00329151
7800 -5.22838 0.00327162
7850 -5.22836 0.00325083
7900 -5.22837 0.00323021
7950 -5.22844 0.00321077
8000 -5.22798 0.00322364
8050 -5.22829 0.00321807
8100 -5.22806 0.00320645
8150 -5.22821 0.00319012
8200 -5.22838 0.00317535
8250 -5.22839 0.00315609
8300 -5.2284 0.00313703
8350 -5.22843 0.00311828
8400 -5.22834 0.00310081
8450 -5.22864 0.00309684
8500 -5.22864 0.00307857
8550 -5.22887 0.00306882
8600 -5.22896 0.00305229
8650 -5.22926 0.00304907
8700 -5.22876 0.00307233
8750 -5.22851 0.00306474
8800 -5.22868 0.00305213
8850 -5.22873 0.00303513
8900 -5.22958 0.0031365
8950 -5.22954 0.00311922
9000 -5.22964 0.0031037
9050 -5.22967 0.0030866
9100 -5.22971 0.00306991
9150 -5.23 0.00306628
9200 -5.22985 0.00305293
9250 -5.22996 0.00303843
9300 -5.22991 0.0030225
9350 -5.23019 0.00301914
9400 -5.23024 0.00300342
9450 -5.2304 0.00299167
9500 -5.22992 0.00301324
9550 -5.22972 0.00300457
9600 -5.22966 0.00298947
9650 -5.22989 0.00298334
9700 -5.2301 0.00297499
9750 -5.23026 0.0029642
9800 -5.23039 0.00295181
9850 -5.2304 0.00293679
9900 -5.23032 0.00292299
9950 -5.23064 0.00292647
10000 -5.23075 0.0029137
