steps pressure_avg pressure_std
50 0.408986 0
100 0.642503 0.233518
150 0.857569 0.25383
200 0.870859 0.179977
250 0.835293 0.143875
300 0.886612 0.128194
350 0.928003 0.11598
400 0.922032 0.100619
450 0.911227 0.0893933
500 0.945526 0.0870019
550 0.952401 0.0789959
600 0.911922 0.0826973
650 0.90957 0.0761068
700 0.924499 0.0720254
750 0.923813 0.0670555
800 0.91352 0.0635636
850 0.924501 0.0607091
900 0.917239 0.057696
950 0.919391 0.0546173
1000 0.922536 0.0519099
1050 0.932186 0.0503103
1100 0.948065 0.0505289
1150 0.962447 0.0503787
1200 0.959127 0.0483481
1250 0.961456 0.0464323
1300 0.971223 0.0456674
1350 0.987808 0.0469689
1400 1.00547 0.0485841
1450 1.00805 0.0469497
1500 1.01583 0.0460208
1550 1.02787 0.0461109
1600 1.03045 0.044721
1650 1.03808 0.0440111
1700 1.04808 0.0438527
1750 1.05063 0.0426578
1800 1.04636 0.0416748
1850 1.04777 0.0405572
1900 1.04955 0.0395154
1950 1.05299 0.0386428
2000 1.05435 0.0376889
2050 1.04433 0.0380991
2100 1.04359 0.0371884
2150 1.0474 0.0365129
2200 1.04661 0.0356822
2250 1.04621 0.0348826
2300 1.04232 0.0343365
2350 1.04432 0.0336573
2400 1.04561 0.0329737
2450 1.04698 0.0323229
2500 1.04584 0.0316903
2550 1.04728 0.0310961
2600 1.04628 0.0305086
2650 1.03686 0.0313755
2700 1.03266 0.0310744
2750 1.02831 0.0308128
2800 1.03285 0.0305966
2850 1.03124 0.0300982
2900 1.03226 0.0295923
2950 1.03019 0.0291603
3000 1.03127 0.0286907
3050 1.03458 0.0284101
3100 1.03882 0.0282671
3150 1.04123 0.0279195
3200 1.04532 0.0277822
3250 1.04586 0.0273567
3300 1.04374 0.0270224
3350 1.04152 0.0267083
3400 1.03865 0.0264682
3450 1.04233 0.0263401
3500 1.05012 0.0271046
3550 1.05184 0.0267751
3600 1.05043 0.0264382
3650 1.05005 0.0260763
3700 1.04893 0.0257457
3750 1.04624 0.0255425
3800 1.0464 0.0252047
3850 1.04804 0.0249294
3900 1.04456 0.0248526
3950 1.041 0.0247927
4000 1.04246 0.0245244
4050 1.03937 0.0244167
4100 1.03961 0.0241182
4150 1.04252 0.0240035
4200 1.03885 0.0239992
4250 1.03458 0.0240962
4300 1.03619 0.0238687
4350 1.03832 0.0236889
4400 1.03812 0.0234189
4450 1.0401 0.0232381
4500 1.04038 0.0229803
4550 1.04249 0.0228242
4600 1.04368 0.022606
4650 1.04654 0.0225431
4700 1.04619 0.0223047
4750 1.04652 0.0220713
4800 1.05001 0.0221159
4850 1.04761 0.0220176
4900 1.04466 0.0219909
4950 1.04254 0.0218702
5000 1.03909 0.021923
5050 1.03888 0.0217059
5100 1.03906 0.0214928
5150 1.04096 0.0213673
5200 1.04071 0.0211623
5250 1.04015 0.0209674
5300 1.03888 0.020807
5350 1.03751 0.0206572
5400 1.03813 0.0204744
5450 1.03645 0.0203554
5500 1.03441 0.0202717
5550 1.03543 0.0201139
5600 1.0353 0.0199339
5650 1.03433 0.0197807
5700 1.03387 0.0196117
5750 1.03223 0.0195099
5800 1.03205 0.0193417
5850 1.03006 0.0192788
5900 1.03129 0.0191542
5950 1.03168 0.0189967
6000 1.03131 0.0188415
6050 1.03074 0.0186937
6100 1.02878 0.0186429
6150 1.03024 0.018548
6200 1.03415 0.0188091
6250 1.03353 0.0186683
6300 1.03483 0.0185653
6350 1.03371 0.0184524
6400 1.03222 0.0183688
6450 1.03374 0.0182892
6500 1.03386 0.0181483
6550 1.03116 0.0182096
6600 1.03337 0.0182052
6650 1.03524 0.0181644
6700 1.0347 0.0180364
6750 1.0346 0.0179025
6800 1.03442 0.0177714
6850 1.03214 0.0177881
6900 1.03261 0.0176651
6950 1.03221 0.0175421
7000 1.0317 0.0174238
7050 1.03093 0.017317
7100 1.03094 0.0171947
7150 1.03028 0.0170868
7200 1.02786 0.0171401
7250 1.02786 0.0170215
7300 1.02589 0.0170191
7350 1.02715 0.0169498
7400 1.02815 0.0168646
7450 1.02707 0.0167862
7500 1.02525 0.016773
7550 1.02535 0.0166619
7600 1.0227 0.0167627
7650 1.02143 0.0167012
7700 1.02184 0.0165973
7750 1.02136 0.0164969
7800 1.02096 0.0163957
7850 1.02091 0.016291
7900 1.02145 0.0161966
7950 1.02198 0.0161032
8000 1.02424 0.0161613
8050 1.02265 0.0161387
8100 1.02385 0.0160834
8150 1.02336 0.0159922
8200 1.02281 0.0159039
8250 1.02282 0.0158072
8300 1.02262 0.0157129
8350 1.0226 0.0156185
8400 1.02286 0.0155274
8450 1.02178 0.0154728
8500 1.02173 0.0153816
8550 1.02069 0.0153268
8600 1.02026 0.0152434
8650 1.0191 0.0151995
8700 1.02073 0.0151995
8750 1.02091 0.0151134
8800 1.02043 0.0150349
8850 1.02062 0.0149509
8900 1.0167 0.0153756
8950 1.01711 0.015295
9000 1.01658 0.015219
9050 1.01654 0.0151347
9100 1.01639 0.015052
9150 1.01564 0.0149885
9200 1.01685 0.014956
9250 1.01657 0.0148776
9300 1.01691 0.0148011
9350 1.01568 0.0147725
9400 1.01569 0.0146937
9450 1.01547 0.0146174
9500 1.01801 0.0147604
9550 1.01919 0.0147306
9600 1.01922 0.0146537
9650 1.01825 0.0146104
9700 1.01732 0.0145644
9750 1.01739 0.0144897
9800 1.01767 0.0144183
9850 1.0188 0.014389
9900 1.01937 0.0143275
9950 1.01781 0.0143399
10000 1.01757 0.0142701
