steps temperature_avg temperature_std
50 0.935534 0
100 0.907982 0.0275511
150 0.879091 0.0329813
200 0.876816 0.023432
250 0.88307 0.0191976
300 0.877168 0.0167491
350 0.873156 0.0147131
400 0.873558 0.0127482
450 0.874532 0.011285
500 0.871909 0.010429
550 0.872235 0.00943898
600 0.877904 0.0103142
650 0.879025 0.00955376
700 0.876476 0.00920522
750 0.876397 0.00856995
800 0.87711 0.00804811
850 0.873888 0.00821818
900 0.874233 0.00775589
950 0.873588 0.00736467
1000 0.873317 0.006992
1050 0.873085 0.00665476
1100 0.871454 0.00655139
1150 0.869332 0.0066098
1200 0.869127 0.00633173
1250 0.869311 0.00607598
1300 0.86906 0.005843
1350 0.868079 0.00570736
1400 0.86677 0.00565351
1450 0.866929 0.0054574
1500 0.865786 0.00539466
1550 0.863964 0.0055269
1600 0.863599 0.00536379
1650 0.863231 0.00521171
1700 0.861583 0.00531801
1750 0.861105 0.00518594
1800 0.861722 0.00507745
1850 0.862249 0.00496643
1900 0.862702 0.00485509
1950 0.862354 0.00474174
2000 0.861657 0.00467397
2050 0.862219 0.00459302
2100 0.861736 0.00450827
2150 0.860889 0.00448283
2200 0.860565 0.00439175
2250 0.860179 0.00431034
2300 0.860612 0.00423779
2350 0.860141 0.00417326
2400 0.859777 0.00410166
2450 0.859241 0.00405268
2500 0.859161 0.00397159
2550 0.858684 0.00392207
2600 0.858309 0.0038642
2650 0.859211 0.00389643
2700 0.859593 0.00384264
2750 0.860159 0.00381444
2800 0.859447 0.00381296
2850 0.859572 0.00374757
2900 0.859186 0.00370257
2950 0.859893 0.00370725
3000 0.860223 0.0036599
3050 0.859732 0.00363284
3100 0.859618 0.00357559
3150 0.859725 0.00352002
3200 0.859428 0.00347724
3250 0.859152 0.00343448
3300 0.85937 0.00338909
3350 0.859837 0.00337058
3400 0.860621 0.0034119
3450 0.860632 0.00336211
3500 0.860124 0.00335245
3550 0.859938 0.00331012
3600 0.859909 0.00326395
3650 0.85977 0.00322196
3700 0.859734 0.00317832
3750 0.859994 0.00314642
3800 0.859942 0.00310517
3850 0.859629 0.0030806
3900 0.860024 0.00306644
3950 0.860511 0.00306632
4000 0.860326 0.00303341
4050 0.860615 0.00300966
4100 0.860414 0.00297949
4150 0.860066 0.00296398
4200 0.860524 0.00296408
4250 0.860972 0.00296314
4300 0.860531 0.00296149
4350 0.860097 0.00295935
4400 0.860145 0.00292593
4450 0.859798 0.00291368
4500 0.859647 0.00288506
4550 0.859292 0.00287514
4600 0.85924 0.0028442
4650 0.858955 0.00282792
4700 0.858991 0.00279791
4750 0.858978 0.00276833
4800 0.858506 0.00277982
4850 0.858826 0.00276963
4900 0.85908 0.00275294
4950 0.859338 0.00273719
5000 0.859955 0.00277901
5050 0.860039 0.00275263
5100 0.860115 0.00272656
5150 0.859745 0.00272516
5200 0.859659 0.00270021
5250 0.859558 0.00267627
5300 0.859777 0.00265996
5350 0.860014 0.00264557
5400 0.859811 0.00262883
5450 0.860018 0.00261287
5500 0.860203 0.00259556
5550 0.859851 0.00259596
5600 0.859742 0.00257499
5650 0.859912 0.00255772
5700 0.859897 0.00253523
5750 0.860043 0.00251738
5800 0.860036 0.00249559
5850 0.860325 0.00249099
5900 0.860126 0.00247781
5950 0.860034 0.00245864
6000 0.860235 0.00244635
6050 0.86024 0.00242605
6100 0.860402 0.00241154
6150 0.860137 0.00240648
6200 0.859655 0.00243524
6250 0.859791 0.00241953
6300 0.859721 0.00240128
6350 0.859946 0.00239282
6400 0.860071 0.00237734
6450 0.859867 0.00236758
6500 0.859929 0.0023501
6550 0.860346 0.00236911
6600 0.860149 0.00235931
6650 0.859877 0.00235724
6700 0.859923 0.00234002
6750 0.859901 0.00232272
6800 0.860031 0.00230926
6850 0.860322 0.00231066
6900 0.860303 0.00229393
6950 0.860524 0.00228798
7000 0.860683 0.00227719
7050 0.860772 0.00226271
7100 0.860754 0.0022468
7150 0.860933 0.00223825
7200 0.861289 0.00225097
7250 0.861227 0.00223625
7300 0.861534 0.00224196
7350 0.861468 0.00222764
7400 0.861444 0.00221266
7450 0.861599 0.00220323
7500 0.861819 0.00219953
7550 0.861801 0.002185
7600 0.862145 0.00219764
7650 0.862427 0.00220137
7700 0.862434 0.00218704
7750 0.862414 0.00217298
7800 0.862475 0.00215989
7850 0.862456 0.00214618
7900 0.862467 0.00213259
7950 0.862528 0.00212
8000 0.862231 0.00212759
8050 0.862441 0.00212477
8100 0.862288 0.00211714
8150 0.862386 0.00210638
8200 0.862501 0.00209663
8250 0.862508 0.0020839
8300 0.862519 0.00207133
8350 0.862535 0.00205896
8400 0.862477 0.00204749
8450 0.862673 0.00204479
8500 0.862667 0.00203273
8550 0.8628 0.00202517
8600 0.862859 0.00201421
8650 0.863067 0.00201332
8700 0.86273 0.00202986
8750 0.862558 0.00202555
8800 0.862674 0.00201736
8850 0.862702 0.00200612
8900 0.863273 0.00207494
8950 0.863239 0.00206359
9000 0.863321 0.00205371
9050 0.863342 0.00204244
9100 0.863361 0.00203128
9150 0.86355 0.00202897
9200 0.863456 0.00202006
9250 0.86354 0.00201084
9300 0.863518 0.00200012
9350 0.863686 0.00199652
9400 0.8637 0.00198592
9450 0.863803 0.00197806
9500 0.863494 0.00199174
9550 0.863354 0.00198623
9600 0.863314 0.00197626
9650 0.863474 0.00197254
9700 0.863612 0.00196715
9750 0.863727 0.00196042
9800 0.86382 0.00195261
9850 0.863825 0.00194268
9900 0.863773 0.00193354
9950 0.863988 0.00193581
10000 0.86406 0.00192742
