steps tot_en_avg tot_en_std
50 -3.93716 0
100 -3.93682 0.000344372
150 -3.9369 0.000214028
200 -3.93677 0.000197812
250 -3.93605 0.000738223
300 -3.93538 0.000899007
350 -3.93539 0.000759898
400 -3.93556 0.00067774
450 -3.9355 0.000600391
500 -3.9352 0.000615154
550 -3.93496 0.000606207
600 -3.93492 0.00055448
650 -3.93469 0.000560261
700 -3.93468 0.000518843
750 -3.93488 0.000523087
800 -3.93507 0.000523848
850 -3.9354 0.000591852
900 -3.93557 0.000583653
950 -3.93559 0.000552675
1000 -3.93553 0.000527573
1050 -3.93549 0.000504151
1100 -3.9354 0.000488178
1150 -3.9353 0.000477489
1200 -3.93521 0.000465812
1250 -3.93514 0.000452623
1300 -3.93509 0.000437433
1350 -3.93508 0.000421172
1400 -3.93512 0.000408278
1450 -3.93507 0.0003975
1500 -3.93509 0.000384568
1550 -3.93504 0.000374599
1600 -3.93507 0.000363956
1650 -3.93508 0.000352763
1700 -3.93502 0.000346586
1750 -3.93502 0.000336581
1800 -3.93507 0.000331678
1850 -3.93512 0.000326541
1900 -3.93514 0.000318342
1950 -3.93511 0.000311238
2000 -3.93507 0.00030655
2050 -3.93508 0.000299102
2100 -3.93503 0.000294954
2150 -3.93503 0.00028806
2200 -3.93499 0.000283727
2250 -3.93501 0.000277759
2300 -3.93498 0.000273554
2350 -3.93496 0.000268099
2400 -3.93495 0.000262883
2450 -3.93488 0.000266716
2500 -3.93484 0.000264511
2550 -3.93487 0.000261008
2600 -3.9349 0.000257755
2650 -3.93496 0.00025986
2700 -3.93497 0.00025532
2750 -3.93498 0.00025085
2800 -3.93498 0.000246336
2850 -3.93497 0.000242243
2900 -3.93495 0.00023858
2950 -3.93496 0.000234593
3000 -3.93489 0.000242294
3050 -3.93484 0.000242963
3100 -3.93485 0.000239276
3150 -3.93484 0.000235522
3200 -3.93483 0.0002321
3250 -3.93486 0.00023072
3300 -3.93489 0.000228838
3350 -3.93488 0.000225711
3400 -3.93483 0.000227933
3450 -3.93479 0.000227446
3500 -3.93477 0.000225859
3550 -3.93473 0.000225375
3600 -3.93472 0.000222548
3650 -3.93471 0.000219882
3700 -3.9347 0.000216898
3750 -3.93467 0.000216654
3800 -3.93464 0.000216467
3850 -3.93464 0.000213726
3900 -3.93465 0.000211283
3950 -3.93464 0.000209002
4000 -3.93463 0.000206828
4050 -3.93463 0.000204259
4100 -3.93465 0.000202939
4150 -3.93467 0.000202106
4200 -3.93469 0.000200673
4250 -3.93469 0.000198298
4300 -3.9347 0.000196017
4350 -3.93464 0.000202121
4400 -3.93461 0.000202698
4450 -3.93457 0.000204177
4500 -3.93455 0.000202892
4550 -3.93455 0.000200652
4600 -3.93454 0.000198509
4650 -3.93458 0.000199985
4700 -3.93457 0.000197951
4750 -3.93455 0.000197161
4800 -3.9345 0.000201268
4850 -3.93449 0.000199895
4900 -3.93451 0.000199117
4950 -3.93451 0.000197131
5000 -3.93451 0.000195153
5050 -3.93452 0.000193222
5100 -3.93453 0.000191823
5150 -3.93452 0.000190241
5200 -3.93451 0.000188584
5250 -3.9345 0.000186969
5300 -3.9345 0.000185201
5350 -3.93453 0.000185516
5400 -3.93456 0.000185946
5450 -3.93459 0.000186923
5500 -3.93462 0.000187199
5550 -3.93463 0.000185712
5600 -3.93466 0.000186642
5650 -3.93466 0.000185035
5700 -3.93466 0.000183432
5750 -3.93465 0.000182343
5800 -3.93465 0.000180799
5850 -3.93465 0.000179432
5900 -3.93465 0.000177918
5950 -3.93464 0.00017677
6000 -3.93465 0.000175819
6050 -3.93469 0.00017931
6100 -3.93473 0.00018092
6150 -3.93473 0.000179555
6200 -3.93473 0.000178221
6250 -3.93471 0.000177821
6300 -3.93471 0.00017641
6350 -3.93471 0.000175052
6400 -3.93469 0.000174362
6450 -3.93464 0.000179011
6500 -3.93462 0.000179012
6550 -3.93462 0.000177663
6600 -3.93461 0.000176571
6650 -3.9346 0.00017564
6700 -3.93458 0.00017483
6750 -3.93457 0.000173921
6800 -3.93458 0.00017307
6850 -3.93459 0.000171827
6900 -3.93459 0.00017059
6950 -3.9346 0.000169519
7000 -3.9346 0.000168304
7050 -3.93462 0.000168422
7100 -3.93463 0.000168011
7150 -3.93463 0.000166867
7200 -3.93461 0.000167326
7250 -3.9346 0.000166205
7300 -3.93461 0.000165221
7350 -3.93461 0.000164117
7400 -3.93459 0.00016473
7450 -3.93459 0.000163631
7500 -3.93459 0.000162542
7550 -3.93461 0.000162678
7600 -3.93464 0.000164792
7650 -3.93466 0.000164246
7700 -3.93466 0.000163191
7750 -3.93467 0.000162791
7800 -3.93467 0.000161753
7850 -3.93467 0.000160726
7900 -3.93467 0.000159872
7950 -3.93465 0.000159436
8000 -3.93464 0.000159064
8050 -3.93463 0.000158408
8100 -3.93463 0.000157435
8150 -3.93463 0.000156466
8200 -3.93463 0.00015552
8250 -3.93463 0.000154642
8300 -3.93463 0.000153878
8350 -3.93462 0.000152955
8400 -3.93463 0.000152072
8450 -3.93463 0.000151226
8500 -3.93464 0.000150746
8550 -3.93467 0.00015218
8600 -3.93467 0.00015133
8650 -3.93466 0.000151242
8700 -3.93466 0.000150493
8750 -3.93467 0.000149996
8800 -3.93467 0.000149158
8850 -3.93467 0.000148315
8900 -3.93467 0.000147503
8950 -3.93468 0.00014687
9000 -3.93466 0.000146823
9050 -3.93466 0.000146182
9100 -3.93467 0.000146198
9150 -3.93467 0.000145398
9200 -3.93467 0.00014465
9250 -3.93465 0.000144495
9300 -3.93464 0.00014497
9350 -3.93466 0.000146412
9400 -3.93469 0.000148195
9450 -3.93469 0.000147461
9500 -3.93468 0.000146986
9550 -3.93469 0.000146242
9600 -3.93469 0.000145481
9650 -3.93468 0.000144782
9700 -3.93468 0.000144039
9750 -3.93467 0.000143607
9800 -3.93466 0.000143335
9850 -3.93466 0.000142611
9900 -3.93466 0.000141894
9950 -3.93466 0.00014121
10000 -3.93466 0.000140511
