steps kin_en_avg kin_en_std
50 0.877703 0
100 0.881979 0.00427647
150 0.869177 0.013038
200 0.874267 0.0105309
250 0.883552 0.0123589
300 0.875912 0.0126569
350 0.880303 0.0115632
400 0.87837 0.0101988
450 0.880429 0.00922719
500 0.879764 0.00827985
550 0.877916 0.00771404
600 0.879994 0.0073421
650 0.877791 0.00710374
700 0.87891 0.00667119
750 0.87995 0.00629704
800 0.87986 0.00589103
850 0.879961 0.00553458
900 0.880486 0.00524444
950 0.879464 0.00506495
1000 0.881505 0.00522062
1050 0.881116 0.00498102
1100 0.878717 0.00532066
1150 0.88068 0.00544965
1200 0.8809 0.00522229
1250 0.87975 0.00513934
1300 0.880998 0.00509307
1350 0.879054 0.0052724
1400 0.87921 0.00508299
1450 0.8802 0.00500356
1500 0.879212 0.00493377
1550 0.878938 0.00477984
1600 0.879911 0.00472932
1650 0.87975 0.00458661
1700 0.879428 0.00446131
1750 0.879798 0.00434774
1800 0.879552 0.00423237
1850 0.879083 0.00414301
1900 0.879919 0.00411821
1950 0.878778 0.00417043
2000 0.879451 0.00412016
2050 0.88014 0.00407708
2100 0.879312 0.00406398
2150 0.879894 0.00401074
2200 0.879767 0.00392057
2250 0.879243 0.00386817
2300 0.879825 0.00382771
2350 0.879658 0.00374913
2400 0.879273 0.00369035
2450 0.8798 0.00365255
2500 0.879287 0.00361536
2550 0.879655 0.00356286
2600 0.879509 0.00349672
2650 0.879851 0.00344709
2700 0.879751 0.00338413
2750 0.879376 0.0033431
2800 0.87963 0.00329264
2850 0.879598 0.00323452
2900 0.879679 0.0031793
2950 0.879314 0.0031462
3000 0.87956 0.00310307
3050 0.879834 0.00306403
3100 0.879783 0.00301465
3150 0.879849 0.00296715
3200 0.880033 0.00292623
3250 0.880096 0.00288154
3300 0.879887 0.00284519
3350 0.879974 0.00280375
3400 0.879613 0.00278574
3450 0.879891 0.00275908
3500 0.879988 0.00272111
3550 0.879755 0.00269258
3600 0.879619 0.0026584
3650 0.879831 0.00263027
3700 0.879786 0.00259488
3750 0.879809 0.00256015
3800 0.879728 0.00252755
3850 0.87991 0.00250112
3900 0.879473 0.0025072
3950 0.879892 0.0025105
4000 0.879708 0.00248576
4050 0.879607 0.00245695
4100 0.879796 0.00243413
4150 0.87971 0.00240615
4200 0.879564 0.00238184
4250 0.879837 0.00236948
4300 0.879764 0.00234293
4350 0.880255 0.00236744
4400 0.879725 0.00239974
4450 0.879697 0.00237278
4500 0.879907 0.00235564
4550 0.87955 0.00235685
4600 0.879673 0.00233432
4650 0.879856 0.00231632
4700 0.879761 0.00229349
4750 0.8796 0.00227494
4800 0.879668 0.00225215
4850 0.879737 0.0022299
4900 0.87958 0.00221266
4950 0.879749 0.00219672
5000 0.879667 0.00217618
5050 0.879497 0.00216122
5100 0.879496 0.00213993
5150 0.87944 0.00211977
5200 0.879617 0.00210668
5250 0.87942 0.00209577
5300 0.879435 0.00207596
5350 0.879704 0.00207387
5400 0.879294 0.00209496
5450 0.879663 0.00210814
5500 0.879588 0.00209023
5550 0.879371 0.00208268
5600 0.879531 0.00207019
5650 0.879285 0.00206649
5700 0.879552 0.00206564
5750 0.879477 0.00204898
5800 0.879678 0.00204114
5850 0.879361 0.0020482
5900 0.879585 0.002043
5950 0.879532 0.00202643
6000 0.879488 0.00200996
6050 0.87945 0.00199364
6100 0.879455 0.00197724
6150 0.879638 0.00196961
6200 0.879628 0.00195369
6250 0.879559 0.00193925
6300 0.879513 0.00192434
6350 0.879626 0.00191247
6400 0.879515 0.00190068
6450 0.879699 0.00189486
6500 0.879602 0.00188273
6550 0.879655 0.00186905
6600 0.879609 0.00185542
6650 0.879746 0.00184653
6700 0.879581 0.00184007
6750 0.879647 0.00182758
6800 0.879682 0.00181442
6850 0.879386 0.00182516
6900 0.879579 0.00182212
6950 0.879522 0.00180987
7000 0.879546 0.00179705
7050 0.879562 0.00178434
7100 0.879553 0.00177175
7150 0.879637 0.0017613
7200 0.879571 0.00175026
7250 0.879351 0.0017521
7300 0.879582 0.00175536
7350 0.879581 0.00174338
7400 0.879555 0.00173176
7450 0.879604 0.00172079
7500 0.879616 0.00170932
7550 0.879651 0.00169833
7600 0.879712 0.00168822
7650 0.879501 0.00169031
7700 0.879715 0.00169288
7750 0.879706 0.00168195
7800 0.879596 0.00167476
7850 0.879381 0.00167779
7900 0.879545 0.00167517
7950 0.879511 0.00166495
8000 0.879578 0.00165585
8050 0.879635 0.00164651
8100 0.879476 0.00164399
8150 0.879539 0.00163511
8200 0.879633 0.00162783
8250 0.879469 0.00162624
8300 0.879552 0.00161854
8350 0.879541 0.00160885
8400 0.879631 0.00160176
8450 0.879481 0.00159932
8500 0.879534 0.00159078
8550 0.879568 0.0015818
8600 0.879338 0.00158932
8650 0.879425 0.00158251
8700 0.879361 0.00157469
8750 0.87931 0.0015665
8800 0.879429 0.00156212
8850 0.879398 0.00155357
8900 0.879385 0.00154488
8950 0.879312 0.00153793
9000 0.879386 0.00153111
9050 0.879447 0.00152386
9100 0.879433 0.00151553
9150 0.879511 0.00150925
9200 0.879404 0.00150484
9250 0.879367 0.00149714
9300 0.879387 0.00148921
9350 0.879424 0.00148167
9400 0.879311 0.00147806
9450 0.879312 0.00147022
9500 0.879385 0.0014643
9550 0.879242 0.00146362
9600 0.879511 0.00148066
9650 0.879307 0.00148703
9700 0.879292 0.00147943
9750 0.879326 0.00147221
9800 0.879272 0.00146565
9850 0.879431 0.00146678
9900 0.879308 0.00146453
9950 0.879278 0.00145746
10000 0.879356 0.00145225
