steps pot_en_avg pot_en_std
100 -7.0765 0
200 -6.94236 0.134131
300 -6.90946 0.084142
400 -6.92418 0.0612906
500 -6.93955 0.0499025
600 -6.93628 0.040876
700 -6.92537 0.0362283
800 -6.92941 0.0316334
900 -6.93736 0.0290099
1000 -6.93271 0.026361
1100 -6.92634 0.0246807
1200 -6.93069 0.0229455
1300 -6.93613 0.0217968
1400 -6.92945 0.0212561
1500 -6.93025 0.0198046
1600 -6.93411 0.0189221
1700 -6.93743 0.0180819
1800 -6.9337 0.0174501
1900 -6.93309 0.0165176
2000 -6.93216 0.0156971
2100 -6.93579 0.0153656
2200 -6.93525 0.0146606
2300 -6.93284 0.014214
2400 -6.92881 0.0141929
2500 -6.93194 0.0139682
2600 -6.93166 0.0134232
2700 -6.93043 0.0129756
2800 -6.93154 0.0125534
2900 -6.93046 0.0121612
3000 -6.9288 0.0118661
3100 -6.93119 0.0117239
3200 -6.93253 0.0114307
3300 -6.92967 0.0114435
3400 -6.93041 0.0111269
3500 -6.92945 0.010847
3600 -6.93009 0.0105605
3700 -6.93018 0.0102716
3800 -6.93009 0.00999808
3900 -6.9297 0.00974621
4000 -6.92783 0.00968127
4100 -6.92771 0.00944297
4200 -6.92678 0.00926142
4300 -6.92896 0.00930248
4400 -6.92992 0.00913887
4500 -6.92993 0.00893349
4600 -6.92762 0.00903793
4700 -6.92804 0.0088533
4800 -6.9274 0.0086899
4900 -6.92897 0.00865329
5000 -6.92839 0.00849846
5100 -6.92729 0.00840147
5200 -6.92748 0.00824052
5300 -6.92754 0.00808376
5400 -6.92805 0.00794894
5500 -6.92806 0.00780308
5600 -6.92931 0.00776454
5700 -6.92909 0.00763051
5800 -6.92749 0.00766589
5900 -6.92719 0.00754059
6000 -6.92707 0.00741492
6100 -6.92867 0.00746636
6200 -6.92815 0.00736333
6300 -6.92826 0.00724637
6400 -6.92818 0.00713269
6500 -6.92779 0.0070331
6600 -6.92813 0.00693422
6700 -6.92849 0.00683927
6800 -6.92886 0.00674805
6900 -6.92895 0.00665019
7000 -6.92896 0.00655451
7100 -6.92766 0.00659137
7200 -6.92773 0.00649956
7300 -6.92801 0.00641582
7400 -6.92807 0.00632881
7500 -6.92865 0.0062706
7600 -6.9282 0.00620358
7700 -6.92775 0.00613917
7800 -6.92797 0.00606403
7900 -6.92816 0.00598968
8000 -6.92752 0.00594891
8100 -6.92828 0.00592443
8200 -6.92841 0.00585314
8300 -6.92891 0.00580341
8400 -6.92878 0.00573534
8500 -6.92823 0.00569364
8600 -6.92824 0.00562705
8700 -6.92783 0.00557724
8800 -6.92822 0.00552743
8900 -6.92884 0.0054997
9000 -6.92953 0.00548237
9100 -6.92936 0.00542441
9200 -6.92887 0.00538796
9300 -6.9287 0.00533228
9400 -6.92876 0.00527553
9500 -6.92906 0.00522837
9600 -6.92913 0.0051741
9700 -6.92926 0.00512219
9800 -6.92925 0.00506965
9900 -6.92849 0.00507657
10000 -6.92817 0.0050353
10100 -6.92852 0.00499722
10200 -6.92857 0.00494826
10300 -6.9283 0.00490754
10400 -6.92821 0.00486099
10500 -6.92886 0.004859
10600 -6.92859 0.004821
10700 -6.92805 0.00480617
10800 -6.92787 0.00476486
10900 -6.92808 0.00472595
11000 -6.92808 0.00468279
11100 -6.92822 0.0046424
11200 -6.92862 0.0046181
11300 -6.92801 0.00461766
11400 -6.92749 0.00460594
11500 -6.92741 0.00456648
11600 -6.92762 0.00453165
11700 -6.92809 0.00451728
11800 -6.92787 0.00448413
11900 -6.92786 0.0044463
12000 -6.92782 0.00440925
12100 -6.92752 0.00438288
12200 -6.92733 0.00435096
12300 -6.92675 0.00435463
12400 -6.92726 0.00434926
12500 -6.92738 0.0043161
12600 -6.9275 0.0042833
12700 -6.92709 0.00426944
12800 -6.92702 0.00423644
12900 -6.92673 0.00421359
13000 -6.92667 0.0041815
13100 -6.92627 0.00416864
13200 -6.92653 0.00414518
13300 -6.92739 0.00420312
13400 -6.92724 0.00417454
13500 -6.92682 0.00416466
13600 -6.92647 0.00414859
13700 -6.92671 0.00412511
13800 -6.92668 0.00409517
13900 -6.92647 0.00407114
14000 -6.92649 0.00404201
14100 -6.92699 0.00404378
14200 -6.927 0.00401521
14300 -6.9265 0.00401806
14400 -6.92597 0.00402558
14500 -6.92638 0.00401875
14600 -6.92673 0.00400661
14700 -6.92676 0.00397938
14800 -6.92629 0.00398016
14900 -6.92594 0.00396847
15000 -6.92614 0.00394686
