steps pressure_avg pressure_std
100 7.17903 0
200 7.83636 0.657336
300 7.97909 0.405465
400 7.90357 0.296486
500 7.82765 0.24188
600 7.84071 0.197926
700 7.89285 0.175214
800 7.87268 0.153074
900 7.83446 0.140304
1000 7.85649 0.127412
1100 7.88569 0.11889
1200 7.86579 0.110342
1300 7.83711 0.105474
1400 7.86916 0.102776
1500 7.867 0.0957032
1600 7.84898 0.0913187
1700 7.83321 0.0872152
1800 7.85189 0.0843217
1900 7.8573 0.0799434
2000 7.86318 0.0760686
2100 7.84526 0.0745418
2200 7.84904 0.0711732
2300 7.8627 0.0693663
2400 7.88297 0.0694395
2500 7.86647 0.0686183
2600 7.86785 0.0659407
2700 7.87521 0.0638774
2800 7.87071 0.0617183
2900 7.87674 0.0598566
3000 7.88476 0.05838
3100 7.87281 0.0577155
3200 7.86587 0.0563121
3300 7.88127 0.0567104
3400 7.87814 0.0551063
3500 7.88208 0.0536535
3600 7.8786 0.0522578
3700 7.87875 0.050826
3800 7.87965 0.0494787
3900 7.88123 0.0482192
4000 7.8898 0.047772
4100 7.89008 0.0465931
4200 7.89498 0.0457341
4300 7.88516 0.0457245
4400 7.88095 0.0448715
4500 7.8807 0.0438637
4600 7.89276 0.0445621
4700 7.89122 0.0436308
4800 7.89508 0.0428868
4900 7.88814 0.0425719
5000 7.89143 0.041841
5100 7.89758 0.0414705
5200 7.89699 0.0406695
5300 7.89674 0.0398955
5400 7.89452 0.0392125
5500 7.89442 0.0384931
5600 7.88844 0.0382692
5700 7.88949 0.0376064
5800 7.89716 0.03774
5900 7.89902 0.0371413
6000 7.90075 0.036558
6100 7.89314 0.036749
6200 7.89637 0.0362955
6300 7.89619 0.0357152
6400 7.89663 0.0351555
6500 7.89899 0.0346902
6600 7.89774 0.0341833
6700 7.89674 0.0336842
6800 7.89561 0.0332041
6900 7.89547 0.0327197
7000 7.89567 0.0322495
7100 7.90266 0.0325499
7200 7.90214 0.0320987
7300 7.90072 0.031688
7400 7.9011 0.0312591
7500 7.89834 0.0309636
7600 7.90048 0.0306287
7700 7.90276 0.0303145
7800 7.90195 0.0299343
7900 7.90149 0.0295566
8000 7.90489 0.029382
8100 7.90162 0.0292005
8200 7.90141 0.0288429
8300 7.8992 0.0285791
8400 7.90012 0.0282519
8500 7.90306 0.0280723
8600 7.90308 0.027744
8700 7.9053 0.0275126
8800 7.90362 0.0272499
8900 7.90096 0.0270725
9000 7.89757 0.026984
9100 7.89836 0.0266975
9200 7.90087 0.0265244
9300 7.9016 0.0262479
9400 7.90142 0.0259677
9500 7.90038 0.0257141
9600 7.90043 0.0254449
9700 7.89964 0.0251935
9800 7.89959 0.0249352
9900 7.90322 0.0249486
10000 7.90454 0.0247331
10100 7.9029 0.0245422
10200 7.9025 0.0243036
10300 7.90378 0.0241003
10400 7.9048 0.0238893
10500 7.90198 0.0238276
10600 7.90329 0.023638
10700 7.90588 0.0235586
10800 7.90656 0.0233493
10900 7.90567 0.0231512
11000 7.90598 0.0229419
11100 7.90557 0.022738
11200 7.90381 0.0226022
11300 7.90704 0.0226323
11400 7.90938 0.0225551
11500 7.90961 0.0223593
11600 7.90876 0.0221818
11700 7.90667 0.022091
11800 7.90792 0.0219388
11900 7.90796 0.0217537
12000 7.90806 0.0215719
12100 7.90963 0.0214502
12200 7.91056 0.021294
12300 7.91331 0.0212988
12400 7.91081 0.0212739
12500 7.9105 0.0211054
12600 7.90983 0.0209477
12700 7.91181 0.0208766
12800 7.91223 0.0207171
12900 7.91369 0.0206076
13000 7.91408 0.0204521
13100 7.91612 0.020398
13200 7.91505 0.0202713
13300 7.91105 0.020512
13400 7.912 0.0203804
13500 7.91395 0.0203233
13600 7.91563 0.0202428
13700 7.91475 0.0201136
13800 7.91524 0.0199734
13900 7.91654 0.0198716
14000 7.91667 0.0197295
14100 7.91437 0.0197237
14200 7.9145 0.0195847
14300 7.91701 0.0196081
14400 7.91955 0.0196363
14500 7.91754 0.0196034
14600 7.91602 0.0195277
14700 7.9158 0.0193956
14800 7.91801 0.0193904
14900 7.91985 0.019347
15000 7.91899 0.0192369
