steps temperature_avg temperature_std
100 0.67734 0
200 0.59671 0.0806306
300 0.573986 0.0518023
400 0.579023 0.0369746
500 0.588811 0.0302666
600 0.58411 0.0251556
700 0.578872 0.0218962
800 0.582965 0.0193993
900 0.587154 0.017614
1000 0.583314 0.0162156
1100 0.581994 0.0147268
1200 0.586039 0.014039
1300 0.588804 0.0132066
1400 0.583398 0.0133689
1500 0.584256 0.0124754
1600 0.585377 0.0117233
1700 0.587303 0.0111792
1800 0.586778 0.0105529
1900 0.586165 0.0100009
2000 0.585829 0.00949359
2100 0.58585 0.00903023
2200 0.587012 0.00868802
2300 0.587383 0.00830998
2400 0.587044 0.00796343
2500 0.586676 0.0076471
2600 0.586357 0.00735401
2700 0.585613 0.00711543
2800 0.585374 0.00686076
2900 0.58672 0.00675547
3000 0.586797 0.00652686
3100 0.587574 0.00636034
3200 0.586325 0.00628362
3300 0.585175 0.00619788
3400 0.585558 0.00602501
3500 0.586041 0.00587026
3600 0.586715 0.00574452
3700 0.586541 0.00558982
3800 0.586855 0.0054498
3900 0.58638 0.00532944
4000 0.586675 0.00520287
4100 0.58668 0.00507439
4200 0.586557 0.00495362
4300 0.58728 0.00489073
4400 0.588246 0.00487487
4500 0.587111 0.00489852
4600 0.586865 0.00479717
4700 0.586286 0.00472958
4800 0.586628 0.00464262
4900 0.586701 0.00454748
5000 0.58774 0.00457518
5100 0.587519 0.00449004
5200 0.587456 0.0044033
5300 0.586956 0.00434825
5400 0.586571 0.00428427
5500 0.585886 0.00426115
5600 0.586877 0.00430011
5700 0.587297 0.00424488
5800 0.586973 0.00418361
5900 0.586921 0.00411242
6000 0.587335 0.00406436
6100 0.586827 0.00402929
6200 0.586795 0.0039639
6300 0.586411 0.00391934
6400 0.587191 0.00393563
6500 0.587409 0.00388079
6600 0.586509 0.00392611
6700 0.585875 0.00391873
6800 0.586533 0.00391626
6900 0.586899 0.00387646
7000 0.586206 0.00388309
7100 0.585953 0.00383634
7200 0.586378 0.00380648
7300 0.587106 0.00382382
7400 0.586733 0.00379011
7500 0.58621 0.0037757
7600 0.586008 0.00373117
7700 0.585848 0.00368585
7800 0.586429 0.00368444
7900 0.586539 0.00363914
8000 0.586654 0.00359523
8100 0.586634 0.00355062
8200 0.586628 0.00350706
8300 0.586193 0.00349176
8400 0.586057 0.00345262
8500 0.586339 0.00342342
8600 0.586411 0.00338415
8700 0.586513 0.00334658
8800 0.586553 0.00330857
8900 0.586116 0.00330022
9000 0.586415 0.00327704
9100 0.586437 0.0032409
9200 0.586244 0.00321128
9300 0.586096 0.00318003
9400 0.586597 0.00318569
9500 0.586657 0.00315256
9600 0.586357 0.00313397
9700 0.586065 0.00311518
9800 0.585942 0.00308567
9900 0.586173 0.003063
10000 0.586346 0.00303715
10100 0.586473 0.00300962
10200 0.586716 0.00298985
10300 0.58681 0.00296217
10400 0.586226 0.00299117
10500 0.586246 0.00296261
10600 0.586338 0.00293598
10700 0.58663 0.00292302
10800 0.586519 0.00289794
10900 0.586559 0.0028715
11000 0.586555 0.00284528
11100 0.586403 0.00282367
11200 0.586233 0.0028035
11300 0.586282 0.00277903
11400 0.586403 0.00275719
11500 0.586589 0.00273943
11600 0.586338 0.00272729
11700 0.586311 0.00270401
11800 0.5864 0.00268248
11900 0.586223 0.0026657
12000 0.58622 0.00264339
12100 0.586175 0.00262185
12200 0.586483 0.00261845
12300 0.586399 0.00259841
12400 0.586079 0.00259724
12500 0.586222 0.00258033
12600 0.586437 0.00256885
12700 0.58652 0.0025499
12800 0.586413 0.00253219
12900 0.586453 0.0025128
13000 0.586377 0.00249453
13100 0.586252 0.00247858
13200 0.58639 0.00246359
13300 0.586707 0.00246546
13400 0.586739 0.0024472
13500 0.586543 0.00243685
13600 0.586165 0.00244827
13700 0.586221 0.00243098
13800 0.586243 0.0024134
13900 0.586507 0.00241051
14000 0.586458 0.00239372
14100 0.58652 0.00237749
14200 0.586543 0.0023608
14300 0.586245 0.00236317
14400 0.586256 0.00234672
14500 0.586478 0.00234108
14600 0.586675 0.00233328
14700 0.586344 0.00234078
14800 0.586333 0.00232494
14900 0.586365 0.0023095
15000 0.586398 0.0022943
