steps tot_en_avg tot_en_std
100 -6.04277 0
200 -6.04065 0.00211717
300 -6.04129 0.00137737
400 -6.04219 0.001331
500 -6.04198 0.00105215
600 -6.04136 0.00106381
700 -6.04119 0.000913999
800 -6.04131 0.000800056
900 -6.04072 0.000920281
1000 -6.04003 0.0010741
1100 -6.03959 0.00106513
1200 -6.03965 0.000974376
1300 -6.03947 0.000914054
1400 -6.03903 0.000955614
1500 -6.03895 0.000893723
1600 -6.03891 0.00083668
1700 -6.03875 0.000803067
1800 -6.03866 0.000761996
1900 -6.03863 0.000721272
2000 -6.03873 0.000691319
2100 -6.0386 0.000670159
2200 -6.0384 0.00067064
2300 -6.03818 0.000677834
2400 -6.03783 0.000737153
2500 -6.03767 0.000724812
2600 -6.03739 0.000751888
2700 -6.03726 0.000733771
2800 -6.03704 0.000741345
2900 -6.03673 0.000780695
3000 -6.03645 0.000805626
3100 -6.03642 0.00077967
3200 -6.03617 0.000793198
3300 -6.03594 0.000803556
3400 -6.03576 0.000799793
3500 -6.03551 0.000817293
3600 -6.03531 0.000817892
3700 -6.03503 0.000843712
3800 -6.03478 0.000858131
3900 -6.03447 0.000891156
4000 -6.03416 0.000923744
4100 -6.03388 0.000943762
4200 -6.03369 0.000939452
4300 -6.0335 0.000937306
4400 -6.03332 0.000933363
4500 -6.03302 0.000961492
4600 -6.03266 0.00100525
4700 -6.03241 0.00101504
4800 -6.03216 0.00102549
4900 -6.03199 0.0010183
5000 -6.03175 0.00102684
5100 -6.03151 0.00103399
5200 -6.03131 0.00103273
5300 -6.03117 0.0010231
5400 -6.03106 0.00101005
5500 -6.03094 0.000998162
5600 -6.03085 0.000984932
5700 -6.03062 0.000994439
5800 -6.03044 0.000994122
5900 -6.03029 0.000987431
6000 -6.0302 0.000975528
6100 -6.03013 0.000961865
6200 -6.03004 0.000950171
6300 -6.02995 0.000939239
6400 -6.02988 0.000927155
6500 -6.02981 0.000915695
6600 -6.02972 0.000906432
6700 -6.02966 0.000894334
6800 -6.02959 0.00088459
6900 -6.02956 0.000871973
7000 -6.02949 0.000862548
7100 -6.02941 0.000853824
7200 -6.02934 0.000844662
7300 -6.02931 0.000833732
7400 -6.02925 0.000824216
7500 -6.02916 0.00081813
7600 -6.02908 0.000811426
7700 -6.02899 0.000805643
7800 -6.02894 0.000797292
7900 -6.02885 0.000792043
8000 -6.02877 0.000785609
8100 -6.02876 0.000776057
8200 -6.02875 0.000766567
8300 -6.02874 0.000757361
8400 -6.02868 0.000750221
8500 -6.02865 0.000741967
8600 -6.02864 0.000733371
8700 -6.02864 0.000724894
8800 -6.02865 0.000716626
8900 -6.02864 0.000708565
9000 -6.02864 0.000700649
9100 -6.02859 0.000694584
9200 -6.02857 0.000687297
9300 -6.02857 0.00067987
9400 -6.02863 0.000674748
9500 -6.02866 0.00066838
9600 -6.02869 0.000661921
9700 -6.02867 0.000655232
9800 -6.02863 0.000649588
9900 -6.02858 0.000645514
10000 -6.02852 0.000641197
10100 -6.02847 0.000637064
10200 -6.02841 0.000633245
10300 -6.02834 0.000632028
10400 -6.02825 0.000631703
10500 -6.02819 0.000628538
10600 -6.02809 0.00063118
10700 -6.028 0.000631092
10800 -6.02794 0.000628092
10900 -6.02787 0.000626572
11000 -6.02779 0.000625286
11100 -6.02773 0.000622958
11200 -6.02765 0.000621834
11300 -6.02757 0.000621511
11400 -6.02746 0.000627251
11500 -6.02732 0.000636854
11600 -6.02724 0.000636093
11700 -6.02712 0.000642584
11800 -6.02698 0.000651588
11900 -6.02686 0.000656505
12000 -6.02676 0.000659657
12100 -6.02665 0.000662864
12200 -6.02652 0.000670805
12300 -6.02639 0.00067755
12400 -6.02628 0.000681708
12500 -6.02617 0.000684214
12600 -6.02603 0.000692788
12700 -6.02589 0.000701813
12800 -6.02575 0.000710138
12900 -6.02562 0.000717236
13000 -6.02549 0.000722581
13100 -6.02538 0.000725457
13200 -6.0253 0.000724473
13300 -6.02521 0.000724835
13400 -6.02512 0.000725479
13500 -6.02501 0.000728135
13600 -6.02492 0.000728313
13700 -6.02485 0.000726415
13800 -6.02477 0.00072499
13900 -6.02467 0.00072707
14000 -6.0246 0.000725483
14100 -6.02453 0.000723019
14200 -6.02447 0.000721226
14300 -6.02438 0.000721652
14400 -6.0243 0.000720583
14500 -6.02426 0.000717017
14600 -6.02417 0.000717212
14700 -6.02409 0.000717234
14800 -6.02401 0.000716806
14900 -6.02395 0.000713986
15000 -6.02389 0.000711911
