bin_upper_bound final_rd_avg final_rd_std
0.064633 0 0
0.129266 0 0
0.193899 0 0
0.258532 0 0
0.323165 0 0
0.387798 0 0
0.452431 0 0
0.517064 0 0
0.581697 0 0
0.64633 0 0
0.710963 0 0
0.775596 0 0
0.84023 0 0
0.904863 0.00119736 0.000591396
0.969496 0.146094 0.00582139
1.03413 1.04239 0.0168317
1.09876 2.01117 0.0223485
1.16339 2.2838 0.0209483
1.22803 2.09179 0.0171385
1.29266 1.83041 0.0160047
1.35729 1.62052 0.0149096
1.42193 1.46398 0.0114124
1.48656 1.34581 0.0126146
1.55119 1.25567 0.0127321
1.61583 1.17054 0.00980504
1.68046 1.17236 0.00973577
1.74509 1.11455 0.00960699
1.80973 1.08368 0.00884793
1.87436 1.07126 0.00802538
1.93899 1.05938 0.00867929
2.00362 1.05325 0.00795592
2.06826 1.06736 0.00796423
2.13289 1.04894 0.00646035
2.19752 1.04989 0.00741867
2.26216 1.04535 0.00724782
2.32679 1.04709 0.00698404
2.39142 1.03803 0.0060275
2.45606 1.02889 0.00595662
2.52069 1.02478 0.00631524
2.58532 1.02102 0.0063928
2.64995 1.01006 0.00540378
2.71459 1.0128 0.00571071
2.77922 1.01226 0.00569431
2.84385 1.01018 0.00560973
2.90849 1.00534 0.00466636
2.97312 1.00224 0.00501715
3.03775 1.0017 0.00534469
3.10239 0.998572 0.00483227
3.16702 0.994062 0.00473024
3.23165 0.992127 0.0041311
3.29629 1.0057 0.00480327
3.36092 0.992624 0.00467747
3.42555 0.992675 0.00450195
3.49018 0.996167 0.00468054
3.55482 0.9944 0.00469081
3.61945 0.995762 0.00384062
3.68408 0.993893 0.00415121
3.74872 0.991963 0.00399332
3.81335 0.988913 0.00440113
3.87798 0.993569 0.00406267
3.94262 0.985539 0.00399086
4.00725 0.992857 0.00352017
4.07188 0.990472 0.00368363
4.13651 0.98857 0.00390933
4.20115 0.979093 0.00348858
4.26578 0.9867 0.00389382
4.33041 0.992879 0.00335269
4.39505 0.983133 0.00313925
4.45968 0.989208 0.00296677
4.52431 0.987658 0.003037
4.58895 0.992771 0.00352258
4.65358 0.987808 0.00340965
4.71821 0.989862 0.0031475
4.78285 0.985368 0.00300735
4.84748 0.992822 0.00294963
4.91211 0.991151 0.00344527
4.97674 0.986896 0.00301728
5.04138 0.982529 0.00288155
5.10601 0.987575 0.00299267
5.17064 0.989631 0.00279477
5.23528 0.986388 0.00289974
5.29991 0.983868 0.00292929
5.36454 0.98664 0.00268135
5.42918 0.98546 0.00274464
5.49381 0.985564 0.00269854
5.55844 0.986768 0.00239084
5.62307 0.99071 0.00260418
5.68771 0.984819 0.00302448
5.75234 0.989351 0.0026168
5.81697 0.985313 0.00265109
5.88161 0.987429 0.00267677
5.94624 0.991024 0.00233445
6.01087 0.984951 0.00256635
6.07551 0.98423 0.00214395
6.14014 0.986508 0.00254193
6.20477 0.984933 0.00220547
6.2694 0.987889 0.0023301
6.33404 0.982386 0.00221588
6.39867 0.986978 0.00236283
6.4633 0.985939 0.0024312
