bin_upper_bound final_rd_avg final_rd_std
0.064633 0 0
0.129266 0 0
0.193899 0 0
0.258532 0 0
0.323165 0 0
0.387798 0 0
0.452431 0 0
0.517064 0 0
0.581697 0 0
0.64633 0 0
0.710963 0 0
0.775596 0 0
0.84023 0 0
0.904863 0 0
0.969496 0.126113 0.0144649
1.03413 0.933384 0.0397983
1.09876 1.84262 0.0656271
1.16339 1.88844 0.0592784
1.22803 1.82011 0.0558586
1.29266 1.70025 0.0460676
1.35729 1.51365 0.0399805
1.42193 1.39208 0.0358966
1.48656 1.24535 0.0298256
1.55119 1.14203 0.0281872
1.61583 1.09154 0.0275459
1.68046 1.06359 0.0273829
1.74509 1.03707 0.029035
1.80973 1.05431 0.0267847
1.87436 1.05077 0.0263153
1.93899 1.02088 0.0225421
2.00362 1.05747 0.0236104
2.06826 1.02963 0.0215927
2.13289 1.05462 0.0235783
2.19752 1.03462 0.0204541
2.26216 1.0293 0.0204345
2.32679 1.04224 0.0193637
2.39142 1.00464 0.0202703
2.45606 0.987367 0.0179135
2.52069 0.953608 0.0189903
2.58532 0.983382 0.017437
2.64995 0.976316 0.017008
2.71459 1.00091 0.0172534
2.77922 0.991533 0.0165562
2.84385 1.00877 0.0168328
2.90849 0.966563 0.0152152
2.97312 0.982148 0.0132481
3.03775 0.976885 0.0138018
3.10239 1.00283 0.0141261
3.16702 1.02065 0.0126019
3.23165 1.00857 0.0145976
3.29629 0.990827 0.0140467
3.36092 0.986842 0.0129567
3.42555 0.973111 0.0130958
3.49018 0.990485 0.011588
3.55482 0.989255 0.0117434
3.61945 0.983501 0.0111451
3.68408 0.966503 0.0136009
3.74872 0.983759 0.0131835
3.81335 0.966793 0.0125871
3.87798 0.980619 0.0110052
3.94262 0.949454 0.00923597
4.00725 0.970865 0.0106603
4.07188 0.949897 0.0096729
4.13651 0.962866 0.00957722
4.20115 0.976219 0.0102598
4.26578 0.977057 0.0102546
4.33041 0.975971 0.0104568
4.39505 0.986139 0.0104523
4.45968 0.995349 0.00959887
4.52431 1.00235 0.010339
4.58895 0.974773 0.00940384
4.65358 0.97789 0.00836326
4.71821 0.968025 0.00840937
4.78285 0.972678 0.0090973
4.84748 0.964167 0.00858583
4.91211 0.962388 0.00886129
4.97674 0.953984 0.00923067
5.04138 0.965936 0.00788033
5.10601 0.992792 0.0084796
5.17064 0.989329 0.00773735
5.23528 0.97794 0.00786964
5.29991 0.963375 0.00811009
5.36454 0.952367 0.00806509
5.42918 0.987581 0.00865805
5.49381 0.992291 0.00766924
5.55844 0.991352 0.00916702
5.62307 0.987398 0.00701406
5.68771 0.972721 0.00744787
5.75234 0.983023 0.0076444
5.81697 0.987657 0.00758432
5.88161 0.984224 0.00698668
5.94624 1.00848 0.00790342
6.01087 1.00452 0.00688619
6.07551 1.00571 0.00731905
6.14014 1.01107 0.00766631
6.20477 0.999176 0.00737411
6.2694 0.99178 0.00707759
6.33404 0.987571 0.00685618
6.39867 0.98808 0.00628956
6.4633 0.983772 0.00689902
