steps pot_en_avg pot_en_std
16 -0.412325 0
32 -0.415589 0.00326394
48 -0.414727 0.00207204
64 -0.413707 0.00178552
80 -0.413593 0.00138768
96 -0.407466 0.00623134
112 -0.408681 0.00540493
128 -0.411108 0.00527239
144 -0.410741 0.00466428
160 -0.411583 0.00425596
176 -0.414562 0.00486754
192 -0.414764 0.00444803
208 -0.416069 0.00429481
224 -0.417277 0.00415573
240 -0.418808 0.00416035
256 -0.418938 0.00389383
272 -0.418626 0.00367094
288 -0.416923 0.00385722
304 -0.416182 0.00372305
320 -0.416156 0.00353209
336 -0.416635 0.00339374
352 -0.416754 0.00323799
368 -0.415861 0.00322054
384 -0.415164 0.00316104
400 -0.414902 0.00304327
416 -0.413728 0.00315091
432 -0.414398 0.00310519
448 -0.413393 0.00315651
464 -0.41257 0.00315489
480 -0.412817 0.00305784
496 -0.412591 0.00296618
512 -0.413133 0.00292285
528 -0.413358 0.00284176
544 -0.413036 0.00277559
560 -0.413009 0.00269526
576 -0.413186 0.00262525
592 -0.413119 0.00255418
608 -0.412953 0.0024916
624 -0.412528 0.00246381
640 -0.412277 0.00241454
656 -0.411803 0.00240202
672 -0.411776 0.00234429
688 -0.41217 0.00232284
704 -0.412116 0.00227008
720 -0.411836 0.00223665
736 -0.411636 0.00219657
752 -0.411816 0.00215678
768 -0.411816 0.00211137
784 -0.41181 0.00206784
800 -0.411708 0.00202867
816 -0.411804 0.00199082
832 -0.411786 0.00195224
848 -0.411505 0.00193554
864 -0.411301 0.00191029
880 -0.41123 0.00187656
896 -0.411009 0.001856
912 -0.410947 0.00182419
928 -0.411438 0.00185826
944 -0.411699 0.00184506
960 -0.411615 0.00181598
976 -0.411678 0.00178706
992 -0.411358 0.00178683
1008 -0.411369 0.00175827
1024 -0.411532 0.00173824
1040 -0.411518 0.00171135
1056 -0.411797 0.00170829
1072 -0.4114 0.00172883
1088 -0.411384 0.0017033
1104 -0.411325 0.00167944
1120 -0.411569 0.00167315
1136 -0.411485 0.00165158
1152 -0.411587 0.0016317
1168 -0.411557 0.00160947
1184 -0.411563 0.00158758
1200 -0.411602 0.00156675
1216 -0.411537 0.00154736
1232 -0.41122 0.00155955
1248 -0.411266 0.0015401
1264 -0.411164 0.00152388
1280 -0.411326 0.00151339
1296 -0.411623 0.0015239
1312 -0.411662 0.0015057
1328 -0.411516 0.00149464
1344 -0.411453 0.00147806
1360 -0.411311 0.00146747
1376 -0.41138 0.00145196
1392 -0.411416 0.00143561
1408 -0.411577 0.00142833
1424 -0.411656 0.00141438
1440 -0.411444 0.00141456
1456 -0.411597 0.00140727
1472 -0.411733 0.0013985
1488 -0.411523 0.00139915
1504 -0.41131 0.00140051
1520 -0.411322 0.00138575
1536 -0.411356 0.00137166
1552 -0.411376 0.00135759
1568 -0.411563 0.00135661
1584 -0.411403 0.00135234
1600 -0.411083 0.00137636
1616 -0.411278 0.00137647
1632 -0.410991 0.00139267
1648 -0.410952 0.00137963
1664 -0.410968 0.00136639
1680 -0.410983 0.0013534
1696 -0.411277 0.00137233
1712 -0.411433 0.00136835
1728 -0.411571 0.00136265
1744 -0.411664 0.00135334
1760 -0.411636 0.00134129
1776 -0.411416 0.00134723
1792 -0.41121 0.00135086
1808 -0.411412 0.00135399
1824 -0.411466 0.00134315
1840 -0.411423 0.00133214
1856 -0.41145 0.00132089
1872 -0.411406 0.00131029
1888 -0.411465 0.0013005
1904 -0.411455 0.00128956
1920 -0.41135 0.0012831
1936 -0.411469 0.00127799
1952 -0.411488 0.00126761
1968 -0.411448 0.00125789
1984 -0.411414 0.00124817
2000 -0.411405 0.00123817
