steps pot_en_avg pot_en_std
16 -0.269754 0
32 -0.266924 0.00282955
48 -0.266868 0.00163461
64 -0.2657 0.00164315
80 -0.273108 0.00751681
96 -0.274865 0.00638389
112 -0.282432 0.00929344
128 -0.290027 0.0110663
144 -0.302098 0.0155228
160 -0.308882 0.0154528
176 -0.317816 0.0165886
192 -0.326634 0.0175239
208 -0.334561 0.0179633
224 -0.340456 0.0176447
240 -0.345797 0.0172726
256 -0.349917 0.0166741
272 -0.353829 0.0161437
288 -0.358244 0.0158479
304 -0.361287 0.0152964
320 -0.364544 0.0148724
336 -0.36676 0.0143189
352 -0.367034 0.0136553
368 -0.368586 0.0131401
384 -0.369918 0.012651
400 -0.371196 0.0122015
416 -0.372754 0.011826
432 -0.373935 0.0114406
448 -0.375619 0.0111524
464 -0.376366 0.0107868
480 -0.377753 0.0105129
496 -0.378942 0.0102375
512 -0.379657 0.00993812
528 -0.380655 0.00968379
544 -0.382027 0.00949444
560 -0.38363 0.00935737
576 -0.385841 0.00935866
592 -0.387252 0.00921097
608 -0.389431 0.00922634
624 -0.391108 0.0091417
640 -0.392724 0.00905563
656 -0.394808 0.00907465
672 -0.397698 0.00931553
688 -0.39974 0.00932262
704 -0.402108 0.00941112
720 -0.404329 0.00946396
736 -0.405453 0.00932394
752 -0.407051 0.00926219
768 -0.408417 0.0091695
784 -0.409688 0.00906994
800 -0.410658 0.00893942
816 -0.411082 0.00877266
832 -0.410423 0.00862749
848 -0.410641 0.00846595
864 -0.409769 0.00835335
880 -0.409102 0.00822714
896 -0.408241 0.0081247
912 -0.407314 0.00803452
928 -0.407061 0.00789882
944 -0.406886 0.00776576
960 -0.406807 0.00763564
976 -0.406731 0.00750981
992 -0.407123 0.00739804
1008 -0.407227 0.00728041
1024 -0.407834 0.00719147
1040 -0.408091 0.00708463
1056 -0.408361 0.00698167
1072 -0.408816 0.0068917
1088 -0.409281 0.00680553
1104 -0.409262 0.0067062
1120 -0.410157 0.00667003
1136 -0.410711 0.00659867
1152 -0.410801 0.006507
1168 -0.410999 0.00642029
1184 -0.411285 0.00633943
1200 -0.411439 0.00625621
1216 -0.411887 0.00618961
1232 -0.412416 0.00613158
1248 -0.412879 0.00607015
1264 -0.413001 0.00599406
1280 -0.413471 0.00593725
1296 -0.41351 0.00586362
1312 -0.413506 0.00579167
1328 -0.413399 0.00572247
1344 -0.41292 0.00567424
1360 -0.412547 0.00561943
1376 -0.412214 0.00556373
1392 -0.412031 0.00550242
1408 -0.411352 0.00548173
1424 -0.410972 0.00543314
1440 -0.410646 0.0053823
1456 -0.410202 0.00534132
1472 -0.409879 0.00529278
1488 -0.409825 0.00523584
1504 -0.409637 0.00518325
1520 -0.409867 0.00513354
1536 -0.410052 0.00508317
1552 -0.410183 0.00503219
1568 -0.410285 0.00498162
1584 -0.410455 0.00493397
1600 -0.410119 0.00489588
1616 -0.409988 0.00484894
1632 -0.40985 0.00480315
1648 -0.409691 0.00475896
1664 -0.409538 0.00471546
1680 -0.409327 0.00467507
1696 -0.409296 0.00463086
1712 -0.409482 0.00459112
1728 -0.409456 0.00454848
1744 -0.409553 0.0045076
1760 -0.409751 0.00447082
1776 -0.41 0.00443735
1792 -0.410167 0.00440072
1808 -0.41027 0.00436281
1824 -0.410169 0.00432556
1840 -0.40999 0.00429152
1856 -0.409694 0.00426465
1872 -0.409006 0.00428362
1888 -0.408566 0.00426985
1904 -0.408306 0.00424178
1920 -0.407972 0.00421954
1936 -0.407874 0.00418567
1952 -0.407751 0.00415304
1968 -0.407688 0.00411962
1984 -0.40757 0.00408798
2000 -0.407345 0.00406137
