steps pressure_avg pressure_std
16 0.0456159 0
32 0.0463669 0.00075104
48 0.0471062 0.000857075
64 0.0476286 0.000800134
80 0.047643 0.000619946
96 0.0482766 0.00081101
112 0.0487587 0.000837983
128 0.0489292 0.000745467
144 0.0487061 0.000694232
160 0.0490102 0.000691391
176 0.048698 0.000699002
192 0.0488425 0.000654255
208 0.0488716 0.00060253
224 0.0487105 0.000580639
240 0.0485843 0.000555072
256 0.048677 0.000527437
272 0.0485874 0.000503485
288 0.0485744 0.000474867
304 0.0485118 0.000453528
320 0.0485119 0.000430254
336 0.0485127 0.000409254
352 0.0483646 0.00041736
368 0.048335 0.0003999
384 0.0484668 0.000404901
400 0.0485929 0.000408345
416 0.0486213 0.000393352
432 0.0487086 0.000388428
448 0.0488393 0.000396467
464 0.0489481 0.000397735
480 0.0488981 0.000387487
496 0.0488994 0.000374781
512 0.0490216 0.000382894
528 0.0489928 0.000372218
544 0.0489488 0.000363785
560 0.0489928 0.000355976
576 0.048952 0.00034835
592 0.0490115 0.000343996
608 0.0489889 0.000335584
624 0.049019 0.000328252
640 0.049009 0.000320098
656 0.0490301 0.000312905
672 0.049056 0.000306457
688 0.0490481 0.000299348
704 0.0489783 0.000300681
720 0.0491023 0.000318999
736 0.0491198 0.000312478
752 0.049116 0.00030578
768 0.0491646 0.00030327
784 0.0491776 0.000297301
800 0.0491807 0.000291311
816 0.0492267 0.000289221
832 0.0492725 0.000287275
848 0.0493129 0.000284689
864 0.0493011 0.000279616
880 0.0492487 0.000279456
896 0.0492242 0.000275507
912 0.04919 0.000272789
928 0.0491867 0.000268065
944 0.0491901 0.000263505
960 0.0491959 0.00025914
976 0.049195 0.000254858
992 0.0491469 0.000255273
1008 0.049142 0.000251237
1024 0.0491381 0.000247312
1040 0.0491285 0.000243664
1056 0.0491161 0.000240267
1072 0.0491604 0.000240772
1088 0.0491162 0.000241291
1104 0.0491211 0.000237819
1120 0.0491225 0.000234401
1136 0.0491176 0.000231128
1152 0.0491331 0.00022842
1168 0.0491025 0.00022733
1184 0.0491329 0.000226283
1200 0.0491291 0.000223279
1216 0.0491334 0.000220364
1232 0.0491463 0.000217866
1248 0.0491447 0.000215061
1264 0.0491744 0.000214383
1280 0.0491639 0.000211944
1296 0.0491509 0.000209719
1312 0.0491764 0.00020871
1328 0.0491737 0.000206197
1344 0.0491894 0.000204336
1360 0.0492298 0.000205927
1376 0.0492277 0.000203529
1392 0.049225 0.000201195
1408 0.0492326 0.000199041
1424 0.0492353 0.00019681
1440 0.0492346 0.000194613
1456 0.0492221 0.000192867
1472 0.0492038 0.000191634
1488 0.0492264 0.0001909
1504 0.0492251 0.000188863
1520 0.0491987 0.000188729
1536 0.0491652 0.000189735
1552 0.0492096 0.000192957
1568 0.0491805 0.000193182
1584 0.0491999 0.000192205
1600 0.0492588 0.000199181
1616 0.0492265 0.000199828
1632 0.04921 0.000198549
1648 0.0491966 0.000197068
1664 0.0491897 0.000195287
1680 0.0491987 0.00019363
1696 0.0491688 0.000194119
1712 0.0491493 0.000193277
1728 0.0491636 0.000192007
1744 0.0491651 0.000190243
1760 0.0491669 0.000188514
1776 0.049196 0.000189056
1792 0.0491656 0.000189801
1808 0.0491526 0.000188567
1824 0.0491493 0.000186935
1840 0.0491395 0.000185559
1856 0.0491291 0.000184251
1872 0.0491427 0.000183177
1888 0.0491446 0.000181629
1904 0.0491367 0.000180273
1920 0.0490983 0.000182835
1936 0.0490713 0.000183318
1952 0.0490679 0.000181841
1968 0.0490514 0.000181113
1984 0.0490495 0.000179655
2000 0.0490624 0.000178674
