steps pressure_avg pressure_std
16 0.059929 0
32 0.0544154 0.00551352
48 0.0534089 0.00333857
64 0.0535557 0.00236528
80 0.0541263 0.00191894
96 0.0567412 0.00304842
112 0.0579036 0.00282648
128 0.0585931 0.00254304
144 0.0596071 0.00246132
160 0.060037 0.00224306
176 0.0608268 0.00217723
192 0.060715 0.00199067
208 0.0603649 0.00186432
224 0.059076 0.00215416
240 0.0589828 0.00200757
256 0.0587886 0.00188794
272 0.058536 0.0017913
288 0.0584691 0.00169018
304 0.05834 0.00160395
320 0.0579704 0.00156587
336 0.0574656 0.00157266
352 0.0567675 0.00165404
368 0.0565365 0.00159728
384 0.0569627 0.00158756
400 0.0570492 0.00152519
416 0.056774 0.00149096
432 0.0567734 0.00143468
448 0.0570881 0.00141787
464 0.0573159 0.00138694
480 0.0570387 0.00136828
496 0.056715 0.00136242
512 0.0564037 0.00135538
528 0.0562102 0.00132785
544 0.0562441 0.00128865
560 0.0560739 0.00126281
576 0.0561751 0.0012314
592 0.0564021 0.00121898
608 0.056504 0.00119084
624 0.0562964 0.00117833
640 0.0562851 0.00114855
656 0.0561353 0.00113016
672 0.0561148 0.00110311
688 0.0562551 0.00108625
704 0.0566071 0.00111813
720 0.0567442 0.00110156
736 0.0567016 0.00107819
752 0.0566469 0.00105642
768 0.0563617 0.00107278
784 0.0560833 0.00108692
800 0.0559426 0.00107421
816 0.0558893 0.00105428
832 0.0560117 0.00104102
848 0.0561611 0.00103206
864 0.0562126 0.00101408
880 0.0561004 0.00100177
896 0.0559249 0.000999247
912 0.0558079 0.000988506
928 0.0558213 0.000971405
944 0.055691 0.000963652
960 0.0555541 0.000957292
976 0.0556778 0.000949563
992 0.055895 0.000959042
1008 0.0560499 0.000956314
1024 0.0560146 0.000941914
1040 0.0560243 0.00092736
1056 0.0559594 0.000915501
1072 0.0558365 0.000910062
1088 0.0557675 0.000899238
1104 0.055619 0.000898452
1120 0.0554812 0.000896187
1136 0.0553958 0.00088759
1152 0.0553277 0.00087782
1168 0.0553194 0.000865752
1184 0.0553205 0.000853973
1200 0.0552999 0.000842763
1216 0.0553256 0.000831997
1232 0.0554053 0.00082498
1248 0.0553339 0.000817455
1264 0.0553234 0.00080711
1280 0.0554079 0.000801429
1296 0.0553655 0.000792607
1312 0.0552967 0.000785899
1328 0.0552191 0.000780245
1344 0.0553157 0.000776932
1360 0.0552916 0.000768114
1376 0.0552121 0.000763281
1392 0.0550997 0.000762783
1408 0.055064 0.000754912
1424 0.055143 0.000750553
1440 0.0551502 0.000742202
1456 0.0551146 0.000734864
1472 0.0551601 0.00072825
1488 0.0551154 0.000721759
1504 0.0551258 0.000714115
1520 0.0550673 0.000708973
1536 0.0550789 0.000701645
1552 0.0551742 0.000700879
1568 0.0551444 0.00069433
1584 0.0550676 0.000691551
1600 0.0550491 0.000684851
1616 0.0549801 0.000681534
1632 0.0549141 0.00067804
1648 0.0550073 0.000677864
1664 0.0550132 0.000671341
1680 0.0549625 0.000666849
1696 0.0549058 0.000662958
1712 0.0549285 0.000657126
1728 0.0550109 0.000656198
1744 0.0550218 0.000650242
1760 0.0550236 0.000644306
1776 0.0550367 0.000638608
1792 0.0549958 0.000634197
1808 0.0549914 0.000628576
1824 0.0549486 0.000624503
1840 0.054892 0.000621635
1856 0.0549153 0.000616695
1872 0.0549611 0.000613116
1888 0.0549327 0.000608564
1904 0.0548997 0.00060433
1920 0.054898 0.000599275
1936 0.0548213 0.000599225
1952 0.0547564 0.000597831
1968 0.0548601 0.000601953
1984 0.0549067 0.000598894
2000 0.0548382 0.000598014
