bin_upper_bound final_rd_avg final_rd_std
0.0256496 0 0
0.0512993 0 0
0.0769489 0 0
0.102599 0 0
0.128248 0 0
0.153898 0 0
0.179547 0 0
0.205197 0 0
0.230847 0 0
0.256496 0 0
0.282146 0 0
0.307796 0 0
0.333445 0 0
0.359095 0 0
0.384745 0 0
0.410394 0 0
0.436044 0 0
0.461694 0 0
0.487343 0 0
0.512993 0 0
0.538642 0 0
0.564292 0 0
0.589942 0 0
0.615591 0 0
0.641241 0 0
0.666891 0 0
0.69254 0 0
0.71819 0 0
0.74384 0 0
0.769489 0 0
0.795139 0 0
0.820788 0 0
0.846438 0 0
0.872088 0 0
0.897737 0.00119336 0.000236029
0.923387 0.0249258 0.000893317
0.949037 0.167512 0.0032947
0.974686 0.576129 0.00555782
1.00034 1.20818 0.00676799
1.02599 1.87426 0.00939003
1.05164 2.34817 0.00822536
1.07728 2.55441 0.00724272
1.10293 2.5427 0.0102144
1.12858 2.41874 0.0102469
1.15423 2.18264 0.00860641
1.17988 1.97075 0.00671036
1.20553 1.74377 0.00696253
1.23118 1.54426 0.00651273
1.25683 1.37273 0.00523363
1.28248 1.24331 0.00705171
1.30813 1.11742 0.00419707
1.33378 1.02229 0.00505122
1.35943 0.936167 0.00415042
1.38508 0.87428 0.00376866
1.41073 0.818249 0.0045398
1.43638 0.774414 0.00511229
1.46203 0.733553 0.00408663
1.48768 0.708194 0.00386521
1.51333 0.701623 0.00376657
1.53898 0.679642 0.0039528
1.56463 0.674899 0.00395666
1.59028 0.672861 0.00357206
1.61593 0.682733 0.00304358
1.64158 0.694432 0.00368581
1.66723 0.704335 0.00381049
1.69288 0.730008 0.00329259
1.71853 0.749939 0.0025855
1.74418 0.785488 0.00282621
1.76983 0.818971 0.00379502
1.79547 0.856798 0.00330616
1.82112 0.89599 0.00404282
1.84677 0.937415 0.00316536
1.87242 0.978256 0.00365907
1.89807 1.01803 0.00341027
1.92372 1.0569 0.00314504
1.94937 1.09538 0.00370785
1.97502 1.12921 0.00355813
2.00067 1.15932 0.00332158
2.02632 1.17899 0.00326548
2.05197 1.20144 0.0036972
2.07762 1.21152 0.00324936
2.10327 1.20915 0.00325833
2.12892 1.20463 0.00327412
2.15457 1.19212 0.0033675
2.18022 1.17044 0.00274043
2.20587 1.14513 0.00354789
2.23152 1.12011 0.00320426
2.25717 1.09419 0.00256784
2.28282 1.06131 0.00316296
2.30847 1.04135 0.00258743
2.33412 1.00902 0.00314328
2.35977 0.989099 0.00257242
2.38542 0.966175 0.00281509
2.41107 0.954668 0.00281697
2.43672 0.929749 0.00247997
2.46237 0.924667 0.00286191
2.48802 0.914691 0.00210779
2.51366 0.898955 0.00249404
2.53931 0.889709 0.00268531
2.56496 0.884475 0.00323772
