bin_upper_bound final_rd_avg final_rd_std
0.0256496 0 0
0.0512993 0 0
0.0769489 0 0
0.102599 0 0
0.128248 0 0
0.153898 0 0
0.179547 0 0
0.205197 0 0
0.230847 0 0
0.256496 0 0
0.282146 0 0
0.307796 0 0
0.333445 0 0
0.359095 0 0
0.384745 0 0
0.410394 0 0
0.436044 0 0
0.461694 0 0
0.487343 0 0
0.512993 0 0
0.538642 0 0
0.564292 0 0
0.589942 0 0
0.615591 0 0
0.641241 0 0
0.666891 0 0
0.69254 0 0
0.71819 0 0
0.74384 0 0
0.769489 0 0
0.795139 0 0
0.820788 0 0
0.846438 0 0
0.872088 0 0
0.897737 9.1797e-05 9.1797e-05
0.923387 0.00645904 0.00111955
0.949037 0.0820953 0.00316757
0.974686 0.379476 0.00689402
1.00034 0.962781 0.0114001
1.02599 1.68494 0.0168232
1.05164 2.29082 0.0222203
1.07728 2.64203 0.0212121
1.10293 2.72348 0.0190397
1.12858 2.57597 0.0183001
1.15423 2.35562 0.0200063
1.17988 2.09129 0.021069
1.20553 1.85703 0.0198894
1.23118 1.62928 0.0170908
1.25683 1.4298 0.0147134
1.28248 1.251 0.0119473
1.30813 1.12627 0.0128261
1.33378 1.01273 0.0129334
1.35943 0.929487 0.0103338
1.38508 0.85586 0.00803406
1.41073 0.80747 0.0112148
1.43638 0.744386 0.00970136
1.46203 0.710072 0.00937068
1.48768 0.691951 0.00876956
1.51333 0.671307 0.0096622
1.53898 0.667728 0.00869517
1.56463 0.659405 0.00825963
1.59028 0.651165 0.00856723
1.61593 0.656789 0.0088993
1.64158 0.659381 0.00822907
1.66723 0.686147 0.00716028
1.69288 0.705571 0.00710412
1.71853 0.724081 0.00830838
1.74418 0.756781 0.00718157
1.76983 0.791061 0.00760154
1.79547 0.833781 0.0102534
1.82112 0.897771 0.00875526
1.84677 0.925948 0.00848126
1.87242 0.961646 0.00827521
1.89807 1.01764 0.00684026
1.92372 1.0577 0.00725891
1.94937 1.10204 0.00909182
1.97502 1.13188 0.00833182
2.00067 1.17273 0.00957212
2.02632 1.20833 0.0085474
2.05197 1.22521 0.00803351
2.07762 1.24129 0.00881304
2.10327 1.23872 0.00853816
2.12892 1.21989 0.00954149
2.15457 1.20913 0.0109882
2.18022 1.19066 0.00833806
2.20587 1.18182 0.0079855
2.23152 1.13613 0.00788708
2.25717 1.10888 0.00815865
2.28282 1.08176 0.00827846
2.30847 1.04461 0.00709825
2.33412 1.01671 0.0096304
2.35977 0.987278 0.00677783
2.38542 0.961475 0.00764085
2.41107 0.950493 0.00650489
2.43672 0.925057 0.00581866
2.46237 0.907762 0.00782366
2.48802 0.89107 0.00603099
2.51366 0.880231 0.00733489
2.53931 0.876943 0.00621084
2.56496 0.880458 0.0068997
