steps pot_en_avg pot_en_std
54 -5.05241 0
108 -5.04824 0.00417428
162 -5.02502 0.0233414
216 -5.01572 0.0189467
270 -5.01873 0.0149822
324 -5.02045 0.0123526
378 -5.0259 0.0117766
432 -5.02595 0.010199
486 -5.02424 0.00915523
540 -5.0217 0.00857415
594 -5.02215 0.00776838
648 -5.02012 0.0073756
702 -5.02204 0.00705004
756 -5.02496 0.00714979
810 -5.02404 0.00671931
864 -5.02276 0.00641265
918 -5.02117 0.00623106
972 -5.02195 0.00592573
1026 -5.02368 0.00586606
1080 -5.0234 0.00557174
1134 -5.02653 0.0061528
1188 -5.02499 0.00606535
1242 -5.0247 0.00580286
1296 -5.02542 0.00560264
1350 -5.02717 0.00565212
1404 -5.02694 0.00543553
1458 -5.02627 0.00527282
1512 -5.02644 0.00508385
1566 -5.02497 0.00512005
1620 -5.02459 0.00496137
1674 -5.0252 0.00483713
1728 -5.02618 0.00478488
1782 -5.02518 0.00474331
1836 -5.02587 0.00465301
1890 -5.02493 0.0046137
1944 -5.02535 0.00450291
1998 -5.02611 0.0044451
