steps pot_en_avg pot_en_std
54 -5.28304 0
108 -5.24531 0.0377361
162 -5.2307 0.0262287
216 -5.21919 0.0218296
270 -5.22871 0.0194045
324 -5.22606 0.0160638
378 -5.22553 0.0135866
432 -5.22585 0.0117707
486 -5.23119 0.0116717
540 -5.2258 0.0117479
594 -5.22642 0.0106447
648 -5.22533 0.00977786
702 -5.22456 0.00902712
756 -5.22735 0.00880826
810 -5.22801 0.00822686
864 -5.22809 0.00769596
918 -5.22953 0.00737152
972 -5.22903 0.00696792
1026 -5.22843 0.00661903
1080 -5.2289 0.0062972
1134 -5.23028 0.00614802
1188 -5.2319 0.00607904
1242 -5.23318 0.005949
1296 -5.23369 0.00571866
1350 -5.23472 0.00558058
1404 -5.23553 0.00542322
1458 -5.23382 0.00549164
1512 -5.2338 0.00529195
1566 -5.23262 0.00523998
1620 -5.23264 0.00506233
1674 -5.23255 0.00489712
1728 -5.23472 0.00521747
1782 -5.23581 0.00517159
1836 -5.23827 0.00559051
1890 -5.23926 0.00551713
1944 -5.23974 0.00538319
1998 -5.23962 0.00523695
