steps pressure_avg pressure_std
54 1.98281 0
108 2.00732 0.0245017
162 2.10481 0.0985168
216 2.16212 0.0902073
270 2.16136 0.0698784
324 2.1503 0.058118
378 2.13231 0.0523096
432 2.13251 0.0453019
486 2.13808 0.0403387
540 2.1446 0.0366634
594 2.14144 0.0333131
648 2.15097 0.0318675
702 2.14407 0.030115
756 2.13101 0.0307866
810 2.13448 0.0288707
864 2.14108 0.0278001
918 2.15212 0.0283527
972 2.15022 0.026799
1026 2.14422 0.0260491
1080 2.14802 0.0250029
1134 2.13498 0.027122
1188 2.13819 0.0260573
1242 2.13844 0.0249
1296 2.13251 0.0245667
1350 2.12347 0.0252374
1404 2.12515 0.0243049
1458 2.12887 0.0236826
1512 2.12886 0.0228211
1566 2.13422 0.0226623
1620 2.13785 0.022193
1674 2.13632 0.0215198
1728 2.13244 0.0211954
1782 2.13574 0.0208075
1836 2.13203 0.0205253
1890 2.13411 0.0200387
1944 2.13223 0.0195642
1998 2.1286 0.0193726
