steps pressure_avg pressure_std
54 1.01271 0
108 1.08732 0.0746114
162 1.13782 0.0663754
216 1.17667 0.0609295
270 1.17389 0.0472778
324 1.15691 0.0421708
378 1.10541 0.0626345
432 1.12504 0.0576863
486 1.12009 0.0511146
540 1.11793 0.0457691
594 1.10341 0.0438732
648 1.07441 0.0494468
702 1.06069 0.0475085
756 1.07169 0.0453392
810 1.07215 0.042211
864 1.07015 0.0395354
918 1.06937 0.0371452
972 1.07277 0.0351856
1026 1.07207 0.0332896
1080 1.08857 0.0356294
1134 1.07462 0.0366482
1188 1.07927 0.0352512
1242 1.07099 0.0346861
1296 1.06736 0.0334075
1350 1.07857 0.0339468
1404 1.0712 0.033436
1458 1.07503 0.0324003
1512 1.07917 0.0314954
1566 1.07332 0.0309489
1620 1.07326 0.0298995
1674 1.07366 0.0289217
1728 1.07463 0.0280201
1782 1.06802 0.0279513
1836 1.06282 0.0276113
1890 1.06267 0.0268112
1944 1.06556 0.026215
1998 1.06941 0.0257861
