bin_upper_bound final_rd_avg final_rd_std
0.0230664 0 0
0.0461329 0 0
0.0691993 0 0
0.0922657 0 0
0.115332 0 0
0.138399 0 0
0.161465 0 0
0.184531 0 0
0.207598 0 0
0.230664 0 0
0.253731 0 0
0.276797 0 0
0.299864 0 0
0.32293 0 0
0.345996 0 0
0.369063 0 0
0.392129 0 0
0.415196 0 0
0.438262 0 0
0.461329 0 0
0.484395 0 0
0.507461 0 0
0.530528 0 0
0.553594 0 0
0.576661 0 0
0.599727 0 0
0.622794 0 0
0.64586 0 0
0.668926 0 0
0.691993 0 0
0.715059 0 0
0.738126 0 0
0.761192 0 0
0.784259 0 0
0.807325 0 0
0.830391 0 0
0.853458 0 0
0.876524 0 0
0.899591 0 0
0.922657 0.00321813 0.000292916
0.945724 0.0485463 0.00131359
0.96879 0.292969 0.003258
0.991856 0.999661 0.00632392
1.01492 2.24609 0.00914076
1.03799 3.60519 0.00955927
1.06106 4.62056 0.0113226
1.08412 4.89545 0.0124197
1.10719 4.5052 0.0110021
1.13026 3.66981 0.00926405
1.15332 2.69548 0.00723909
1.17639 1.8137 0.00591158
1.19945 1.13875 0.00424498
1.22252 0.652266 0.00407102
1.24559 0.350743 0.00354541
1.26865 0.175794 0.00204356
1.29172 0.0870703 0.00188354
1.31479 0.0480089 0.00112892
1.33785 0.0413847 0.00111438
1.36092 0.0586892 0.00120514
1.38399 0.10545 0.00145573
1.40705 0.1846 0.00185178
1.43012 0.297551 0.00245331
1.45319 0.452488 0.00276002
1.47625 0.627969 0.002277
1.49932 0.800515 0.00309565
1.52238 0.920242 0.00400159
1.54545 0.975662 0.00398132
1.56852 0.926856 0.00436533
1.59158 0.810882 0.00387412
1.61465 0.644269 0.00281384
1.63772 0.463865 0.00206373
1.66078 0.316846 0.00196534
1.68385 0.218077 0.00204974
1.70692 0.192947 0.00246215
1.72998 0.25059 0.00270619
1.75305 0.429566 0.00358282
1.77612 0.744938 0.00336224
1.79918 1.19603 0.00351779
1.82225 1.73272 0.00380171
1.84531 2.23972 0.00443317
1.86838 2.59613 0.00623323
1.89145 2.71988 0.00648844
1.91451 2.56257 0.00582476
1.93758 2.17975 0.00603913
1.96065 1.68814 0.00334321
1.98371 1.20055 0.00295672
2.00678 0.800404 0.00342028
2.02985 0.540507 0.00367973
2.05291 0.433861 0.00326551
2.07598 0.457151 0.00271349
2.09905 0.580869 0.00264815
2.12211 0.760222 0.00192268
2.14518 0.916812 0.00204953
2.16824 1.01645 0.00318945
2.19131 1.02581 0.00331762
2.21438 0.922318 0.00248429
2.23744 0.782383 0.0019617
2.26051 0.654666 0.0022053
2.28358 0.568856 0.0026217
2.30664 0.572761 0.00320046
