bin_upper_bound final_rd_avg final_rd_std
0.0230664 0 0
0.0461329 0 0
0.0691993 0 0
0.0922657 0 0
0.115332 0 0
0.138399 0 0
0.161465 0 0
0.184531 0 0
0.207598 0 0
0.230664 0 0
0.253731 0 0
0.276797 0 0
0.299864 0 0
0.32293 0 0
0.345996 0 0
0.369063 0 0
0.392129 0 0
0.415196 0 0
0.438262 0 0
0.461329 0 0
0.484395 0 0
0.507461 0 0
0.530528 0 0
0.553594 0 0
0.576661 0 0
0.599727 0 0
0.622794 0 0
0.64586 0 0
0.668926 0 0
0.691993 0 0
0.715059 0 0
0.738126 0 0
0.761192 0 0
0.784259 0 0
0.807325 0 0
0.830391 0 0
0.853458 0 0
0.876524 0 0
0.899591 0 0
0.922657 0.000664613 0.000259127
0.945724 0.0142411 0.00132171
0.96879 0.13693 0.00446625
0.991856 0.666773 0.00903053
1.01492 1.88296 0.0139767
1.03799 3.52786 0.0200139
1.06106 4.90565 0.021231
1.08412 5.39717 0.0211169
1.10719 4.98626 0.0210079
1.13026 3.93875 0.0203751
1.15332 2.77547 0.0186318
1.17639 1.72266 0.0129673
1.19945 0.985381 0.00921842
1.22252 0.507436 0.00701893
1.24559 0.238945 0.00536505
1.26865 0.100254 0.00411963
1.29172 0.042472 0.00270637
1.31479 0.0213202 0.0017772
1.33785 0.019248 0.00171106
1.36092 0.0314338 0.00237361
1.38399 0.0682647 0.00355635
1.40705 0.13599 0.00347544
1.43012 0.245328 0.00603164
1.45319 0.407065 0.00570752
1.47625 0.627468 0.00754357
1.49932 0.84491 0.0070184
1.52238 1.01889 0.00858091
1.54545 1.08411 0.012134
1.56852 1.02825 0.0101513
1.59158 0.871471 0.00613343
1.61465 0.653298 0.00498267
1.63772 0.429143 0.00585434
1.66078 0.260049 0.00399258
1.68385 0.151425 0.00442401
1.70692 0.112123 0.00432447
1.72998 0.146364 0.00420479
1.75305 0.298985 0.00551295
1.77612 0.597724 0.00751925
1.79918 1.07076 0.00999541
1.82225 1.71281 0.00889046
1.84531 2.35541 0.010637
1.86838 2.85172 0.014637
1.89145 3.00383 0.0164619
1.91451 2.78663 0.0157409
1.93758 2.32537 0.0102328
1.96065 1.70479 0.00749177
1.98371 1.12238 0.00728351
2.00678 0.666265 0.00643076
2.02985 0.388423 0.00630114
2.05291 0.292072 0.00607228
2.07598 0.342899 0.00518869
2.09905 0.525785 0.00549089
2.12211 0.751813 0.00444904
2.14518 0.966873 0.00604851
2.16824 1.12064 0.00606007
2.19131 1.12888 0.00658102
2.21438 0.998733 0.00692452
2.23744 0.808963 0.00397307
2.26051 0.606914 0.00488205
2.28358 0.465589 0.00621066
2.30664 0.444795 0.00708375
