steps pot_en_avg pot_en_std
40 -6.66965 0
80 -6.68255 0.012901
120 -6.67937 0.00809982
160 -6.68041 0.0058215
200 -6.68601 0.00718753
240 -6.68577 0.00587359
280 -6.68978 0.00638507
320 -6.69344 0.00663063
360 -6.68778 0.00814096
400 -6.68758 0.00728428
440 -6.68608 0.00675621
480 -6.68611 0.00616761
520 -6.685 0.00578132
560 -6.68539 0.00536681
600 -6.68348 0.00535069
640 -6.68388 0.00502129
680 -6.68242 0.00493677
720 -6.682 0.00467362
760 -6.68134 0.00446972
800 -6.68053 0.00431728
840 -6.67993 0.00415034
880 -6.68019 0.00396626
920 -6.6823 0.0043353
960 -6.68249 0.00415506
1000 -6.68195 0.00402108
1040 -6.68269 0.00393352
1080 -6.68374 0.00392636
1120 -6.68436 0.00383457
1160 -6.68443 0.00370054
1200 -6.68535 0.00369319
1240 -6.68533 0.00357216
1280 -6.6855 0.00346289
1320 -6.68491 0.00340623
1360 -6.68533 0.00333071
1400 -6.68557 0.00324303
1440 -6.68512 0.00318379
1480 -6.68426 0.00321288
1520 -6.68354 0.00320925
1560 -6.68363 0.00312711
1600 -6.68478 0.00325697
1640 -6.68428 0.00321497
1680 -6.68515 0.00325591
1720 -6.68512 0.00317948
1760 -6.68499 0.00310894
1800 -6.68494 0.00303949
1840 -6.6849 0.00297301
1880 -6.68502 0.00291157
1920 -6.68575 0.00294306
1960 -6.68604 0.00289667
2000 -6.68593 0.00284021
