steps pot_en_avg pot_en_std
40 -6.89736 0
80 -6.91414 0.0167795
120 -6.9174 0.0102211
160 -6.92452 0.01015
200 -6.92417 0.00787026
240 -6.92171 0.00687981
280 -6.92475 0.00655908
320 -6.9237 0.00577542
360 -6.92245 0.0052446
400 -6.92469 0.00519769
440 -6.92199 0.0054226
480 -6.92057 0.00514936
520 -6.92018 0.004753
560 -6.92032 0.00440259
600 -6.9206 0.00410834
640 -6.92023 0.00386097
680 -6.91922 0.0037649
720 -6.91902 0.00355501
760 -6.91856 0.00339374
800 -6.91828 0.00323184
840 -6.91723 0.00324819
880 -6.91712 0.00309903
920 -6.91715 0.00296136
960 -6.91664 0.00288111
1000 -6.91666 0.00276358
1040 -6.91615 0.00270426
1080 -6.91591 0.00261267
1120 -6.91643 0.00256982
1160 -6.91615 0.00249573
1200 -6.91523 0.00257996
1240 -6.91555 0.00251574
1280 -6.91488 0.00252484
1320 -6.91477 0.00245003
1360 -6.91476 0.00237688
1400 -6.91459 0.00231459
1440 -6.91422 0.00227999
1480 -6.91426 0.00221785
1520 -6.9143 0.00215915
1560 -6.91419 0.00210601
1600 -6.91371 0.00210698
1640 -6.91368 0.00205523
1680 -6.91321 0.00205983
1720 -6.91266 0.00208616
1760 -6.91265 0.00203822
1800 -6.91281 0.00199931
1840 -6.91277 0.00195573
1880 -6.91271 0.00191462
1920 -6.91254 0.00188256
1960 -6.91209 0.00189742
2000 -6.91225 0.00186555
