steps pressure_avg pressure_std
40 9.55612 0
80 9.48791 0.0682133
120 9.50641 0.0435135
160 9.49974 0.0314842
200 9.46857 0.039573
240 9.47033 0.032359
280 9.44861 0.0349235
320 9.42806 0.036564
360 9.45987 0.0452908
400 9.46028 0.0405115
440 9.46935 0.0377476
480 9.46897 0.0344607
520 9.47544 0.0323522
560 9.47341 0.0300209
600 9.48381 0.0298183
640 9.48176 0.0279678
680 9.48943 0.0273677
720 9.49168 0.0259008
760 9.49518 0.0247488
800 9.49925 0.0238283
840 9.5021 0.0228438
880 9.50122 0.0217982
920 9.48983 0.0237422
960 9.48921 0.0227399
1000 9.49241 0.0220444
1040 9.48813 0.0216075
1080 9.48286 0.0214498
1120 9.47955 0.0209319
1160 9.47927 0.0201991
1200 9.47426 0.0201478
1240 9.47441 0.0194876
1280 9.47338 0.0188967
1320 9.47673 0.018619
1360 9.47455 0.0181944
1400 9.47351 0.0176974
1440 9.47581 0.0173519
1480 9.48057 0.0175335
1520 9.48476 0.0175748
1560 9.48442 0.0171216
1600 9.47813 0.0178347
1640 9.48081 0.0175985
1680 9.47591 0.0178594
1720 9.47616 0.017441
1760 9.47711 0.0170665
1800 9.47736 0.0166847
1840 9.47769 0.0163215
1880 9.47714 0.0159801
1920 9.47299 0.0161859
1960 9.47147 0.0159248
2000 9.47214 0.0156176
