steps pressure_avg pressure_std
40 8.07017 0
80 7.98186 0.0883034
120 7.96616 0.0533448
160 7.92887 0.0530419
200 7.92922 0.0410876
240 7.94147 0.0357151
280 7.92788 0.0331037
320 7.93186 0.0289437
360 7.93578 0.0258255
400 7.92393 0.0259627
440 7.93402 0.0255607
480 7.94122 0.024419
520 7.94321 0.0225499
560 7.94405 0.0208941
600 7.94342 0.0194615
640 7.94596 0.0183811
680 7.95141 0.0181076
720 7.95265 0.0171164
760 7.95605 0.0165451
800 7.95791 0.0158049
840 7.96482 0.016548
880 7.96629 0.0158458
920 7.96706 0.0151609
960 7.97062 0.0149459
1000 7.97134 0.0143536
1040 7.97433 0.0141108
1080 7.97604 0.0136848
1120 7.97374 0.0133851
1160 7.97587 0.0130893
1200 7.98053 0.0134765
1240 7.97962 0.0130659
1280 7.98325 0.0131617
1320 7.98374 0.0127661
1360 7.98374 0.0123849
1400 7.98452 0.0120511
1440 7.98565 0.0117657
1480 7.98551 0.0114442
1520 7.9853 0.0111409
1560 7.98664 0.0109333
1600 7.98911 0.0109403
1640 7.98977 0.0106904
1680 7.99268 0.0108303
1720 7.99574 0.0110115
1760 7.99684 0.0108141
1800 7.99651 0.0105761
1840 7.99749 0.0103897
1880 7.9984 0.010207
1920 7.99957 0.0100602
1960 8.00217 0.0101909
2000 8.00189 0.0099891
